,city,country,commitment_type,commitment,ghg_subtype,baseline_year,baseline_year_emissions,target_year,target_year_emissions,percent_reduction,emissions_reduction_by_target_year
600,"Täby Municipality, Sweden",Sweden,Renewable energy target,The Täby Municipality committed to increase its share of renewable energy in final energy mix in Community by 20% by 2020The target is going to be reached by activities in Transport sector.  The Täby Municipality committed to increase its share of renewable energy in final energy mix in Local Government by 50% by 2020The target is going to be reached by activities in Electricity and Heating & cooling sectors. The Täby Municipality committed to increase its share of renewable energy in final energy mix in Local Government by 50% by 2020The target is going to be reached by activities in Transport sectors.,,,,,,,
601,"Täby Municipality, Sweden",Sweden,Energy efficiency target,0% Energy efficiency improvement by 2020The Täby Municipality committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2020 compared to 2009 levels. Final energy energy consumption: 775. 0 MwhThis target will be achieved in Electricity and Heating & cooling sectors 0% Energy efficiency improvement by 2020The Täby Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2020 compared to 2009 levels. Final energy energy consumption: 34000. 0 MwhThis target will be achieved in Electricity sectors,,,,,,,
602,"Umeå Municipality, Sweden",Sweden,GHG emission reduction target, The Umeå Municipality has committed to reduce its Community emissions by 85% by 2045 compared to 1990 emission level. The target is going to be reached by activities in Stationary energy and Transport sectors.,Community,1990,545003.0,2045,81750.0,,463252.0
603,"Umeå Municipality, Sweden",Sweden,GHG emission reduction target," The Umeå Municipality has committed to reduce its Local Government emissions by 100% by 2018 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management and Industrial processes and product use (IPPU) sectors.",Local Government,2010,545003.0,2018,81750.0,100.0,463252.0
604,"Umeå Municipality, Sweden",Sweden,Renewable energy target,0% Energy efficiency improvement by 2015The Umeå Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2015 compared to 2008 levels. Final energy energy consumption: 31. 385555555558 MwhThis target will be achieved in Electricity and Heating & cooling sectors0% Energy efficiency improvement by 2020The Umeå Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2020 compared to 2007 levels. This target will be achieved in Electricity and Heating & cooling sectors20% Energy efficiency improvement by 2020The Umeå Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 20% by 2020 compared to 2008 levels. Final energy energy consumption: 31. 39 MwhThis target will be achieved in Electricity and Heating & cooling sectors20% Energy efficiency improvement by 2020The Umeå Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 20% by 2020 compared to 2007 levels. Final energy energy consumption: 191500. 0 MwhThis target will be achieved in Electricity and Heating & cooling sectors20% Energy efficiency improvement by 2020The Umeå Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 20% by 2020 compared to 2007 levels. Final energy energy consumption: 191500. 0 MwhThis target will be achieved in Electricity and Heating & cooling sectors20% Energy efficiency improvement by 2020The Umeå Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 20% by 2020 compared to 2008 levels. Final energy energy consumption: 31. 39 MwhThis target will be achieved in Electricity and Heating & cooling sectors,,,,,,,
605,"Upplands Väsby Municipality, Sweden",Sweden,GHG emission reduction target," The Upplands Väsby Municipality has committed to reduce its Community emissions by 50% by 2020 compared to 1990 emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",Community,1990,118916.0,2020,59458.0,,59458.0
606,"Upplands Väsby Municipality, Sweden",Sweden,Renewable energy target,The Upplands Väsby Municipality committed to increase its share of renewable energy in final energy mix in Local Government by 100% by 2020The target is going to be reached by activities in Transport sector.,,,,,,,
607,"Upplands Väsby Municipality, Sweden",Sweden,Energy efficiency target,0% Energy efficiency improvement by 2020The Upplands Väsby Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2020 compared to 2009 levels. Final energy energy consumption: 33206. 0 MwhThis target will be achieved in Electricity and Heating & cooling sectors,,,,,,,
608,"Uppsala Municipality, Sweden",Sweden,GHG emission reduction target," The Uppsala Municipality has committed to reduce its Community emissions by 110% by 2070 compared to 1990 emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",Community,1990,1421000.0,2070,-142100.0,,1563100.0
609,"Uppsala Municipality, Sweden",Sweden,Renewable energy target,The Uppsala Municipality committed to increase its share of renewable energy in final energy mix in Community by 100% by 2030The target is going to be reached by activities in  sectors.  The Uppsala Municipality committed to increase its share of renewable energy in final energy mix in Local Government by 0% by 2020The target is going to be reached by activities in Heating & cooling sectors.,,,,,,,
610,"Uppsala Municipality, Sweden",Sweden,Energy efficiency target,"0% Energy efficiency improvement by 2020The Uppsala Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2020 compared to 2014 levels. Final energy energy consumption: 460863. 0 MwhThis target will be achieved in Electricity, Transport, Heating & cooling and Industry sectors25% Energy efficiency improvement by 2020The Uppsala Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 25% by 2020 compared to 2014 levels.",,,,,,,
611,"Västerås Municipality, Sweden",Sweden,GHG emission reduction target, The Västerås Municipality has committed to reduce its Community emissions by 80% by 2050 compared to 1990 emission level.,Community,1990,,2050,,80.0,
612,"Västerås Municipality, Sweden",Sweden,GHG emission reduction target, The Västerås Municipality has committed to reduce its Local Government emissions by 90% by 2050 compared to 2009 emission level.,Local Government,2009,,2050,,90.0,
613,"Växjö Municipality, Sweden",Sweden,GHG emission reduction target, The Växjö Municipality has committed to reduce its Community emissions by 100% by 2030 compared to 1993 emission level.,Community,1993,,2030,,100.0,
614,"Växjö Municipality, Sweden",Sweden,GHG emission reduction target, The Växjö Municipality has committed to reduce its Local Government emissions by 100% by 2020 compared to 1999 emission level.,Local Government,1999,,2020,,100.0,
615,"Vårgårda Municipality, Sweden",Sweden,Renewable energy target,0% Energy efficiency improvement by 2020The Vårgårda Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2020 compared to 2009 levels. Final energy energy consumption: 18733. 0 MwhThis target will be achieved in Electricity and Heating & cooling sectors30% Energy efficiency improvement by 2020The Vårgårda Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 30% by 2020 compared to 2009 levels. Final energy energy consumption: 18733. 0 MwhThis target will be achieved in Electricity and Heating & cooling sectors,,,,,,,
616,"Örebro Municipality, Sweden",Sweden,GHG emission reduction target, The Örebro Municipality has committed to reduce its Community emissions by 40% of per capita/ per GDP emissions by 2020 compared to 2000 emission level. The target is going to be reached by activities in Stationary energy and Transport sectors.,Community,2000,880000.0,2020,880000.0,,352000.0
617,"Örebro Municipality, Sweden",Sweden,Renewable energy target,"The Örebro Municipality committed to increase its Installed capacity of Renewable energy in Local Government to 2 MW by 2020The target is going to be reached by activities in Electricity sectors. The Örebro Municipality committed to increase its Installed capacity of Renewable energy in Local Government to 2 MW by 2020The target is going to be reached by activities in Transport, Heating & cooling and Totally 75% of transport should be operated by biogas-driven vehicles within the municipality.  sectors.",,,,,,,
618,"Örebro Municipality, Sweden",Sweden,Energy efficiency target,25% Energy efficiency improvement by 2030The Örebro Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 25% by 2030 compared to 2014 levels. Final energy energy consumption: 331000. 0 MwhThis target will be achieved in Heating & cooling sectors30% Energy efficiency improvement by 2030The Örebro Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 30% by 2030 compared to 2014 levels. Final energy energy consumption: 129000. 0 MwhThis target will be achieved in Electricity sectors,,,,,,,
619,"Dar Es Salaam City Council, Tanzania",Tanzania,GHG emission reduction target, The Dar Es Salaam City Council has committed to reduce its Community emissions by 60% by 2016 compared to 2014 emission level.,Community,2014,,2016,,60.0,
620,"Moshi Municipal Council, Tanzania",Tanzania,GHG emission reduction target, The Moshi Municipal Council has committed to reduce its Community emissions by 60% by 2025 compared to Baseline scenario (BAU) reduction target emission level.,Community,2006,,2025,,60.0,
621,"Moshi Municipal Council, Tanzania",Tanzania,GHG emission reduction target, The Moshi Municipal Council has committed to reduce its Local Government emissions by 40% by 2025 compared to 2012 emission level.,Local Government,2012,,2025,,40.0,
622,"Bangchak Sub District Municipality, Thailand",Thailand,GHG emission reduction target," The Bangchak Sub District Municipality has committed to reduce its Local Government emissions by 5% by 2021 compared to 2015 emission level. The target is going to be reached by activities in Stationary energy, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Local Government,2015,2756.0,2021,2618.0,,137.0
623,"Chiang Mai City Municipality, Thailand",Thailand,GHG emission reduction target, The Chiang Mai City Municipality has committed to reduce its Community emissions by 10% by 2030 compared to Baseline scenario (BAU) reduction target emission level.,Community,2010,,2030,,10.0,
624,"Hat Siao Sub-District Municipality, Thailand",Thailand,GHG emission reduction target," The Hat Siao Sub-District Municipality has committed to reduce its Local Government emissions by 30% by 2021 compared to 2012 emission level. The target is going to be reached by activities in Stationary energy, Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Local Government,2012,10378.0,2021,7264.0,,3113.0
625,"Hat Siao Sub-District Municipality, Thailand",Thailand,Renewable energy target,10% Energy efficiency improvement by 2021The Hat Siao Sub-District Municipality committed to increase its energy efficiency in Final energy and Community energy consumption by 10% by 2021 compared to 2015 levels. Final energy energy consumption: 166. 4 MwhThis target will be achieved in Electricity sectors,,,,,,,
626,"Hat Yai City Municipality, Thailand",Thailand,GHG emission reduction target, The Hat Yai City Municipality has committed to reduce its Community emissions by 15% by 2020 compared to 2012 emission level.,Community,2012,,2020,,15.0,
627,"Hat Yai City Municipality, Thailand",Thailand,GHG emission reduction target, The Hat Yai City Municipality has committed to reduce its Local Government emissions by 10% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2012,,2020,,10.0,
628,"Hat Yai City Municipality, Thailand",Thailand,Renewable energy target,The Hat Yai City Municipality committed to increase its Installed capacity of Renewable energy in Local Government to 5 MW by 2030The target is going to be reached by activities in Electricity sectors.,,,,,,,
629,"Hat Yai City Municipality, Thailand",Thailand,Energy efficiency target,10% Energy efficiency improvement by 2027The Hat Yai City Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 10% by 2027 compared to 2013 levels. Final energy energy consumption: 922. 33 MwhThis target will be achieved in Electricity sectors,,,,,,,
630,"Huai Khao Kam Municipality, Thailand",Thailand,GHG emission reduction target, The Huai Khao Kam Municipality has committed to reduce its Local Government emissions by 15% by 2021 compared to 2014 emission level. The target is going to be reached by activities in Waste management sector.,Local Government,2014,3433.0,2021,2918.0,,514.0
631,"Huai Khao Kam Municipality, Thailand",Thailand,Renewable energy target,10% Energy efficiency improvement by 2021The Huai Khao Kam Municipality committed to increase its energy efficiency in Final energy and Community energy consumption by 10% by 2021 compared to 2015 levels. Final energy energy consumption: 12115. 67 MwhThis target will be achieved in Electricity sectors,,,,,,,
632,"Kalangnakorn Town Municipality, Thailand",Thailand,GHG emission reduction target," The Kalangnakorn Town Municipality has committed to reduce its Community emissions by 5% by 2021 compared to 2016 emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Community,2016,10878.0,2021,10334.0,,543.0
633,"Khok Kruat Municipality, Thailand",Thailand,GHG emission reduction target, The Khok Kruat Municipality has committed to reduce its Local Government emissions by 15% by 2017 compared to 2012 emission level.,Local Government,2012,,2017,,15.0,
634,"Khok Kruat Municipality, Thailand",Thailand,Renewable energy target,The Khok Kruat Municipality committed to increase its share of renewable energy in final energy mix in Local Government by 5% by 2017The target is going to be reached by activities in  sector.,,,,,,,
635,"Khok Kruat Municipality, Thailand",Thailand,Energy efficiency target,0% Energy efficiency improvement by 2017The Khok Kruat Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2017 compared to 2012 levels.,,,,,,,
636,"Khon Kaen City Municipality, Thailand",Thailand,GHG emission reduction target, The Khon Kaen City Municipality has committed to reduce its Local Government emissions by 30% by 2025 compared to 2011 emission level. The target is going to be reached by activities in Waste management sector.,Local Government,2011,197154.0,2025,138007.0,,59146.0
637,"Khun Han Municipality, Thailand",Thailand,GHG emission reduction target, The Khun Han Municipality has committed to reduce its Local Government emissions by 5% by 2014 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2011,,2014,,5.0,
638,"Lampang City Municipality, Thailand",Thailand,GHG emission reduction target, The Lampang City Municipality has committed to reduce its Local Government emissions by 10% by 2020 compared to 2011 emission level.,Local Government,2011,,2020,,10.0,
639,"Mae Raeng Municipality, Thailand",Thailand,GHG emission reduction target, The Mae Raeng Municipality has committed to reduce its Local Government emissions by 5% by 2014 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2012,,2014,,5.0,
640,"Map Ammarit Municipality, Thailand",Thailand,GHG emission reduction target, The Map Ammarit Municipality has committed to reduce its Community emissions by 5% of per capita/ per GDP emissions by 2022 compared to 2012 emission level.,Community,2012,,2022,,5.0,
641,"Map Ammarit Municipality, Thailand",Thailand,GHG emission reduction target, The Map Ammarit Municipality has committed to reduce its Local Government emissions by 10% of per capita/ per GDP emissions by 2022 compared to 2012 emission level.,Local Government,2012,,2022,,10.0,
642,"Map Ammarit Municipality, Thailand",Thailand,Renewable energy target,The Map Ammarit Municipality committed to increase its Installed capacity of Renewable energy in Local Government to 0 MW by 2022The target is going to be reached by activities in Electricity sectors.,,,,,,,
643,"Map Ammarit Municipality, Thailand",Thailand,Energy efficiency target,30% Energy efficiency improvement by 2020The Map Ammarit Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 30% by 2020 compared to 2012 levels. Final energy energy consumption: 134. 49 MwhThis target will be achieved in Electricity sectors,,,,,,,
644,"Na Kaeo Municipality, Thailand",Thailand,GHG emission reduction target, The Na Kaeo Municipality has committed to reduce its Local Government emissions by 10% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2012,,2020,,10.0,
645,"Nang Lae Municipality, Thailand",Thailand,GHG emission reduction target, The Nang Lae Municipality has committed to reduce its Local Government emissions by 10% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2012,,2020,,10.0,
646,"Nong Samrong Town Municipality, Thailand",Thailand,GHG emission reduction target, The Nong Samrong Town Municipality has committed to reduce its Local Government emissions by 5% by 2021 compared to 2011 emission level.,Local Government,2011,,2021,,5.0,
647,"Nonthaburi City Municipality, Thailand",Thailand,GHG emission reduction target, The Nonthaburi City Municipality has committed to reduce its Community emissions by 5% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Community,2012,,2020,,5.0,
648,"Nonthaburi City Municipality, Thailand",Thailand,GHG emission reduction target, The Nonthaburi City Municipality has committed to reduce its Local Government emissions by 10% by 2020 compared to 2012 emission level.,Local Government,2012,,2020,,10.0,
649,"Patong Municipality, Thailand",Thailand,GHG emission reduction target, The Patong Municipality has committed to reduce its Community emissions by 5% by 2030 compared to 2013 emission level. The target is going to be reached by activities in Waste management sector.,Community,2013,663.0,2030,629.0,,33.0
650,"Phanat Nikhom Town Municipality, Thailand",Thailand,GHG emission reduction target, The Phanat Nikhom Town Municipality has committed to reduce its Local Government emissions by 5% by 2016 compared to 2012 emission level. The target is going to be reached by activities in Stationary energy sector.,Local Government,2012,12805.0,2016,12164.0,,640.0
651,"Phanom Sarakham Municipality, Thailand",Thailand,GHG emission reduction target, The Phanom Sarakham Municipality has committed to reduce its Local Government emissions by 20% by 2017 compared to 2012 emission level. The target is going to be reached by activities in Stationary energy and Waste management sectors.,Local Government,2012,6809.0,2017,5447.0,,1361.0
652,"Phuket City Municipality, Thailand",Thailand,GHG emission reduction target, The Phuket City Municipality has committed to reduce its Local Government emissions by 10% by 2016 compared to 2010 emission level. The target is going to be reached by activities in Stationary energy sector.,Local Government,2010,10450.0,2016,9405.0,,1045.0
653,"Pong Municipality, Thailand",Thailand,GHG emission reduction target," The Pong Municipality has committed to reduce its Local Government emissions by 5% by 2016 compared to 2012 emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management and Agriculture, forest and other land use (AFOLU) sectors.",Local Government,2012,2629.0,2016,2497.0,,131.0
654,"Prix Municipality, Thailand",Thailand,Renewable energy target,10% Energy efficiency improvement by 2020The Prix Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 10% by 2020 compared to 2014 levels. Final energy energy consumption: 326. 09 MwhThis target will be achieved in Electricity sectors,,,,,,,
655,"Ranong Town Municipality, Thailand",Thailand,GHG emission reduction target, The Ranong Town Municipality has committed to reduce its Local Government emissions by 10% by 2021 compared to 2015 emission level. The target is going to be reached by activities in Transport sector.,Local Government,2015,6251.0,2021,5625.0,,625.0
656,"Ranong Town Municipality, Thailand",Thailand,Renewable energy target,10% Energy efficiency improvement by 2021The Ranong Town Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 10% by 2021 compared to 2015 levels. Final energy energy consumption: 1934. 86 MwhThis target will be achieved in Electricity sectors,,,,,,,
657,"Rong Kwang Municipality, Thailand",Thailand,GHG emission reduction target, The Rong Kwang Municipality has committed to reduce its Local Government emissions by 10% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2012,,2020,,10.0,
658,"Sikhio Town Municipality, Thailand",Thailand,GHG emission reduction target, The Sikhio Town Municipality has committed to reduce its Community emissions by 10% by 2020 compared to 2011 emission level.,Community,2011,,2020,,10.0,
659,"Sikhio Town Municipality, Thailand",Thailand,GHG emission reduction target, The Sikhio Town Municipality has committed to reduce its Local Government emissions by 10% by 2015 compared to 2011 emission level.,Local Government,2011,,2015,,10.0,
660,"Sisaket Town Municipality, Thailand",Thailand,GHG emission reduction target, The Sisaket Town Municipality has committed to reduce its Local Government emissions by 10% by 2020 compared to 2012 emission level.,Local Government,2012,,2020,,10.0,
661,"Thung Song Town Municipality, Thailand",Thailand,GHG emission reduction target, The Thung Song Town Municipality has committed to reduce its Local Government emissions by 20% by 2017 compared to 2011 emission level. The target is going to be reached by activities in Stationary energy sector.,Local Government,2011,40727.0,2017,32581.0,,8145.0
662,"Thung Song Town Municipality, Thailand",Thailand,Renewable energy target,The Thung Song Town Municipality committed to increase its share of renewable energy in final energy mix in Local Government by 5% by 2017The target is going to be reached by activities in Electricity sector.,,,,,,,
663,"Ubonratchathani Municipality, Thailand",Thailand,GHG emission reduction target, The Ubonratchathani Municipality has committed to reduce its Local Government emissions by 5% by 2021 compared to 2015 emission level. The target is going to be reached by activities in Stationary energy and Waste management sectors.,Local Government,2015,28669.0,2021,27235.0,,1433.0
664,"Umong Municipality, Thailand",Thailand,GHG emission reduction target, The Umong Municipality has committed to reduce its Local Government emissions by 10% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2012,,2020,,10.0,
665,"Yasothon Town Municipality, Thailand",Thailand,GHG emission reduction target," The Yasothon Town Municipality has committed to reduce its Community emissions by 20% by 2020 compared to 2013 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2013,78772.0,2020,63017.0,,15754.0
666,"Yasothon Town Municipality, Thailand",Thailand,GHG emission reduction target, The Yasothon Town Municipality has committed to reduce its Local Government emissions by 20% by 2020 compared to 2013 emission level. The target is going to be reached by activities in Waste management sector.,Local Government,2013,36857.0,2020,29485.0,,7371.0
667,"Yasothon Town Municipality, Thailand",Thailand,Renewable energy target,0% Energy efficiency improvement by 2017The Yasothon Town Municipality committed to increase its energy efficiency in Primary energy and Community energy consumption by 0% by 2017 compared to 2014 levels. Primary energy energy consumption: 2032. 73 MwhThis target will be achieved in Electricity sectors,,,,,,,
668,"Izmir Metropolitan Municipality, Turkey",Turkey,GHG emission reduction target," The Izmir Metropolitan Municipality has committed to reduce its Community emissions by 20% by 2020 compared to 2014 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2014,8494736.0,2020,6795788.0,,1698947.0
669,"Izmir Metropolitan Municipality, Turkey",Turkey,Renewable energy target,The Izmir Metropolitan Municipality committed to increase its Installed capacity of Renewable energy in Community to 130 MW by 2020The target is going to be reached by activities in Electricity sector.,,,,,,,
670,"Izmir Metropolitan Municipality, Turkey",Turkey,Energy efficiency target,"20% Energy efficiency improvement by 2020The Izmir Metropolitan Municipality committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2020 compared to 2014 levels. Final energy energy consumption: 61562164. 4 MwhThis target will be achieved in Electricity, Transport and Heating & cooling sectors",,,,,,,
671,"Kadiköy Municipality, Turkey",Turkey,GHG emission reduction target, The Kadiköy Municipality has committed to reduce its Local Government emissions by 15% by 2023 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2010,,2023,,15.0,
672,"Kampala Capital City Authority, Uganda",Uganda,GHG emission reduction target," The Kampala Capital City Authority has committed to reduce its Community emissions by 22% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Community,2014,6900000.0,2030,6900000.0,,1518000.0
673,"Kampala Capital City Authority, Uganda",Uganda,Renewable energy target,The Kampala Capital City Authority committed to increase its consumption of energy from renewable energy sources in Community by 191280 MWh by 2020Current consumption of energy from renewable energy source: 81780. 0 MWh 2019The target is going to be reached by activities in Electricity and Household cooking energy sector.  The Kampala Capital City Authority committed to increase its consumption of energy from renewable energy sources in Local Government by 109500 MWh by 2020Current consumption of energy from renewable energy source:  MWh The target is going to be reached by activities in Electricity sector.,,,,,,,
674,"Kampala Capital City Authority, Uganda",Uganda,Energy efficiency target,50% Energy efficiency improvement by 2020The Kampala Capital City Authority committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 50% by 2020 compared to 2015 levels. Primary energy energy consumption: 90. 77 Mwh,,,,,,,
675,"Broward County, FL, United States",United States,GHG emission reduction target," The Broward County, FL has committed to reduce its Community emissions by 82% by 2050 compared to 2003 emission level.",Community,2003,,2050,,82.0,
676,"Broward County, FL, United States",United States,GHG emission reduction target," The Broward County, FL has committed to reduce its Local Government emissions by 7% by 2015 compared to 1997 emission level.",Local Government,1997,,2015,,7.0,
677,"City and County of San Francisco, CA, United States",United States,GHG emission reduction target," The City and County of San Francisco, CA has committed to reduce its Community emissions by 80% by 2050 compared to 1990 emission level.",Community,1990,,2050,,80.0,
678,"City and County of San Francisco, CA, United States",United States,GHG emission reduction target," The City and County of San Francisco, CA has committed to reduce its Local Government emissions by 80% by 2050 compared to 2005 emission level.",Local Government,2005,,2050,,80.0,
679,"City of Ann Arbor, MI, United States",United States,GHG emission reduction target," The City of Ann Arbor, MI has committed to reduce its Community emissions by 90% by 2050 compared to 2000 emission level.",Community,2000,,2050,,90.0,
680,"City of Antioch, CA, United States",United States,GHG emission reduction target," The City of Antioch, CA has committed to reduce its Community emissions by 80% by 2050 compared to Baseline scenario (BAU) reduction target emission level.",Community,1990,,2050,,80.0,
681,"City of Asheville, NC, United States",United States,GHG emission reduction target," The City of Asheville, NC has committed to reduce its Local Government emissions by 80% by 2030 compared to 2008 emission level.",Local Government,2008,,2030,,80.0,
682,"City of Atlanta, GA, United States",United States,GHG emission reduction target," The City of Atlanta, GA has committed to reduce its Community emissions by 80% by 2040 compared to 2009 emission level.",Community,2009,,2040,,80.0,
683,"City of Austin, TX, United States",United States,GHG emission reduction target," The City of Austin, TX has committed to reduce its Community emissions by 100% by 2050 compared to 2010 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2010,145000000.0,2050,0.0,,145000000.0
684,"City of Austin, TX, United States",United States,GHG emission reduction target," The City of Austin, TX has committed to reduce its Local Government emissions by 100% by 2020 compared to 2007 emission level. The target is going to be reached by activities in Stationary energy and Transport sectors.",Local Government,2007,210000.0,2020,0.0,,210000.0
685,"City of Austin, TX, United States",United States,Renewable energy target,"The City of Austin, TX committed to increase its share of renewable energy in final energy mix in Community by 55% by 2025Current share of renewable energy in final energy mix: 1216. 0% The target is going to be reached by activities in Electricity and Heating & cooling sector.  The City of Austin, TX committed to increase its share of renewable energy in final energy mix in Local Government by 100% by 2012The target is going to be reached by activities in Electricity and Heating & cooling sector.",,,,,,,
686,"City of Austin, TX, United States",United States,Energy efficiency target,"0% Energy efficiency improvement by 2025The City of Austin, TX committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2025 compared to 2007 levels. Final energy energy consumption: 11325036. 0 MwhThis target will be achieved in Electricity and Heating & cooling sectors 0% Energy efficiency improvement by 2015The City of Austin, TX committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2015 compared to 2014 levels. This target will be achieved in Electricity and Heating & cooling sectors",,,,,,,
687,"City of Baltimore, MD, United States",United States,GHG emission reduction target," The City of Baltimore, MD has committed to reduce its Community emissions by 15% by 2020 compared to 2010 emission level.",Community,2010,,2020,,15.0,
688,"City of Beaverton, OR, United States",United States,GHG emission reduction target," The City of Beaverton, OR has committed to reduce its Local Government emissions by 75% by 2050 compared to 2008 emission level.",Local Government,2008,,2050,,75.0,
689,"City of Benicia, CA, United States",United States,GHG emission reduction target," The City of Benicia, CA has committed to reduce its Community emissions by 10% by 2020 compared to 2000 emission level.",Community,2000,,2020,,10.0,
690,"City of Benicia, CA, United States",United States,GHG emission reduction target," The City of Benicia, CA has committed to reduce its Local Government emissions by 33% by 2020 compared to 2000 emission level.",Local Government,2000,,2020,,33.0,
691,"City of Berkeley, CA, United States",United States,GHG emission reduction target," The City of Berkeley, CA has committed to reduce its Community emissions by 80% by 2050 compared to 2000 emission level.",Community,2000,,2050,,80.0,
692,"City of Berkeley, CA, United States",United States,GHG emission reduction target," The City of Berkeley, CA has committed to reduce its Local Government emissions by 80% by 2050 compared to 2000 emission level.",Local Government,2000,,2050,,80.0,
693,"City of Boston, MA, United States",United States,GHG emission reduction target," The City of Boston, MA has committed to reduce its Community emissions by 80% by 2050 compared to 2005 emission level.",Community,2005,,2050,,80.0,
694,"City of Boston, MA, United States",United States,GHG emission reduction target," The City of Boston, MA has committed to reduce its Local Government emissions by 25% by 2020 compared to 2005 emission level.",Local Government,2005,,2020,,25.0,
695,"City of Boulder, CO, United States",United States,GHG emission reduction target," The City of Boulder, CO has committed to reduce its Community emissions by 80% by 2050 compared to 1990 emission level.",Community,1990,,2050,,80.0,
696,"City of Boulder, CO, United States",United States,GHG emission reduction target," The City of Boulder, CO has committed to reduce its Local Government emissions by 80% by 2050 compared to 2008 emission level.",Local Government,2008,,2050,,80.0,
697,"City of Burlington, VT, United States",United States,GHG emission reduction target," The City of Burlington, VT has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.",Community,2007,,2050,,80.0,
698,"City of Burlington, VT, United States",United States,GHG emission reduction target," The City of Burlington, VT has committed to reduce its Local Government emissions by 80% by 2050 compared to 2007 emission level.",Local Government,2007,,2050,,80.0,
699,"City of Charleston, SC, United States",United States,GHG emission reduction target," The City of Charleston, SC has committed to reduce its Community emissions by 83% by 2050 compared to 2002 emission level.",Community,2002,,2050,,83.0,
700,"City of Charlottesville, VA, United States",United States,GHG emission reduction target," The City of Charlottesville, VA has committed to reduce its Community emissions by 10% by 2035 compared to 2000 emission level.",Community,2000,,2035,,10.0,
701,"City of Charlottesville, VA, United States",United States,GHG emission reduction target," The City of Charlottesville, VA has committed to reduce its Local Government emissions by 40% by 2050 compared to 2011 emission level.",Local Government,2011,,2050,,40.0,
702,"City of Chicago, IL, United States",United States,GHG emission reduction target," The City of Chicago, IL has committed to reduce its Community emissions by 80% by 2050 compared to 1990 emission level.",Community,1990,,2050,,80.0,
703,"City of Chicago, IL, United States",United States,GHG emission reduction target," The City of Chicago, IL has committed to reduce its Local Government emissions by 80% by 2050 compared to 1990 emission level.",Local Government,1990,,2050,,80.0,
