,action,city,country,description,start year,status,type
1406,Alternative Energy - Khon Kaen City Municipality,"Khon Kaen City Municipality, Thailand",Thailand,"The municipality is attempting to use alternative energy to replace energy from fuel oil. The main goals are to reduce cost, reduce carbon emission, and promote food safety by refraining from reusing frying oil. They focused their effort to taking out used vegetable oil from the sewage system as much as possible and converting it into biodiesel. The municipality combined the biodisel and diesel to use in 10 trash collection trucks (from 30) with plans to sell biogas to KKU as well. Additionally, there is a project to produce biogas from animal excrement and food scraps from the school and community and use the biogas to replace LPG used to cook lunch for the students. In the past, the municipality was able to collect 1000 liters of vegetable oil and produced 900 liters of biodiesel. The facility to produce biogas is used as an demonstration center to learn about alternative",,In operation,Education/Awareness Raising
1407,Eneryg Saving Campaign - Khon Kaen City Municipality,"Khon Kaen City Municipality, Thailand",Thailand,"In the past, the municipality paid 29,791,000 Baht each year for energy with electricity costing around 9,791,000 Baht and fuel oil costing around 20 million Baht. The municipality then thought of a way to reduce energy use by reorganizing the vehicle. In the past, each department would have separate vehicles, after combining the vehicles into one center, the municipality was able to reduce energy use by 8,531 liter in one year. Moreover, some light bulbs were changed to LED, focusing on the bulbs in the meeting rooms and fresh market which saved 205,500 Baht and reduced carbon emission by 20 tons CO2e.",,Completed,Organizational / Governance
1408,Waste Reduction  at source towards Khonkaen Low carbon City - Khon Kaen City Municipality,"Khon Kaen City Municipality, Thailand",Thailand,"From the full landfill crisis since 1998, the municipality has to find a new area to eliminate waste but received opposition from the community which led them to reevaluate their method to make it appropriate while reducing the most amount of waste at the source. They asked the people at the source of all the waste for their collaboration by asking them to do the following: 1) Organic waste-encouraging to separate organic waste from the large source such as fresh markets, restaurants, community and at household level to convert into compost and fermented water for farmers to use as well as for the municipality to use at garden shows and as cleaning solution. 2) For wastes that is able to be sold, the municipality encourages the establishment of a waste bank, community recycle center, hazardous waste, as well as a drop off style recycle center which will be located in public spaces, corporate agencies where the proceeds will be donated to organize public activities 3) campaign to reduced foam use in 3 fresh markets with the goal for a 30% reduction in waste by 2025 or 60 tons per day. Currently, the municipality is able to reduce by 12 tons per day or 6%.",,Completed,Public Participation/Stakeholder engagement
1409,Promotion of Green food-Green market-Green consumption for Food Security - Khon Kaen City Municipality,"Khon Kaen City Municipality, Thailand",Thailand,"From surveying food in the municipality fresh markets, it was discovered that there are many contaminants in the food especially vegetable. It was also discovered that 26% of those living in the community, have traces of harmful chemicals which increases their change of getting diabetes, high blood pressure, and cancer. The vegetable are from places far away which wastes a lot of energy in transportation. The municipality initiated a program that has activities to promote food security by starting from increasing the capacity of community leaders through training and site visits to create awareness about food safety and encouraging the community to return to growing their own vegetable which is true to traditional Thai culture. The municipality also promotes converting fresh food to compost to use in the cultivation of vegetable. Most importantly, the municipality designated the area around Rim Beung Kang Nakorn Road as a green market every Friday so the people has a place where clean and safe foods can be obtained close to the home. The project is in conjunction with the alternative agriculture group of Northeastern Thailand and the result is more households are growing their own vegetable from 12 households in 2013 to 100 households in 2015 with 500 people attending the green market each day.",,In operation,Public Participation/Stakeholder engagement
1410,waste to energy - Khon Kaen City Municipality,"Khon Kaen City Municipality, Thailand",Thailand,"In 1998, the municipality experienced a crisis with more than 700,000 tons of leftover waste since the sanitary landfill became full. Open dump waste management greatly affected the environment and neighboring communities. The municipality then began to study waste management that is appropriate by converting waste to energy by inviting the private sector to invest in an incinerator to convert it into electrical energy to sell back to the electrical authorities and enter the carbon market. Currently, 30% of the power plant is constructed and is able to burn 450 tons of waste per day, 250 tons of new waste and 200 leftover wastes and is able to produce 4.9 MW. It is estimated to take 7 years to eliminate the leftover waste. Moreover, the municipality is working with the Department of Energy to research ways to convert plastic waste into crude oil by burning using pyrolysis. If this project proceeds, it will be able to eliminate 6 tons of plastic waste and produce 45 liters of crude oil per day.",,In operation,Public Participation/Stakeholder engagement
1411,Ad hoc plan to prevent and mitigate impact from flood and windstorm - Lampang City Municipality,"Lampang City Municipality, Thailand",Thailand,"This plan is to prevent, avoid, and mitigate the impact on people's lives and property which may occur from natural disasters. When this happens, the helping of victims will be more quickly and timely as well as the effective restoration of the affected area . The plan will set the process, identify the role to supprot emergency communication, and equipment, etc., as well as training regularly to cope when disaster occure.",2014,In operation,Policy/Strategies/Action Plans
1412,Mosquito larvae eradication campaign in Lampang. - Lampang City Municipality,"Lampang City Municipality, Thailand",Thailand,"This project is supported community participation to prevent and control dangue. The dangue patients in Lampang is increasing about 10 times from the previous year. This project has raised the awarness about disease and acknowladge people about mosquito larva eradication by various practises such as media, walking campaign, and sparying insecticide.",2013,Completed,Public Participation/Stakeholder engagement
1413,Community Participation on Natural Resource and Environment Restoration and Conservation toward Climate Change Adaptation - Lampang City Municipality,"Lampang City Municipality, Thailand",Thailand,"This project aim to encourage the local participation of 43 communities in order to conserve, protect, and restore environment and natural resources.  There are various of activities such as remove the garbage and weed in the river, canal dredging to support water flow and prevent from flooding, and water pollutant accumulation. Moreover, this project is also encourage people to plant the trees in public space to increase GHGs absorption.",2012,In operation,Public Participation/Stakeholder engagement
1414,The practice emergency response plans for Emerging Infectious Diseases - Lampang City Municipality,"Lampang City Municipality, Thailand",Thailand,This project is to prepare for Emerging Infectious Diseases that may occure in the city by training and acknowladge the government officer and people about diseases protection and preparing for communicable disease that may arise from Climate Change.,2012,Completed,Policy/Strategies/Action Plans
1415,Prevention and control of Dengue fever Project - Mae Raeng Municipality,"Mae Raeng Municipality, Thailand",Thailand,"The time befor epidemic season, April to June of every year , Maerang municipality will perform the prevention of dengue virus. Staffs and volunteers will raise awarness in community of the important and dangerous of infectious disease, as well as destruct mosquito breeding sites and surveillance of an outbreak.",2014,Completed,Education/Awareness Raising
1416,"Check Dam Construction Project for the Royal Charity on the Occasion of Her Majesty The Queen’s 80th Birthday Anniversary, August 12th, 2012.   - Na Kaeo Municipality","Na Kaeo Municipality, Thailand",Thailand,"Nakaew Subdistrict Municipality located in highland which is risk of flood and landslide near water sources in the forests. Municipality cooperated with  government sector, private sector, and more than 100 people in the area built 13 check dams and ordained the forest for preventing deforestation, the traditional rite to protect the trees. The aims are to protect the forest as a carbon sink, to slow down water flow, and to reserve water for community use.",2012,Completed,Public Participation/Stakeholder engagement
1417,Development plan of Nanglae Municipal 2014-2016 - Nang Lae Municipality,"Nang Lae Municipality, Thailand",Thailand,"Nanglae municipal has created three years plan (2014-2016) in order to be the framwork of municipal activities and budget in each year. The contents of the plan involves adapting to cope with climate change, including disaster relief, flood protection, and erosion. Moreover, the plane is also about municipal land use planning, a development of infrastructure and utilities, optimizing the utilization of water resources, improving the quality of life and solving poverty problem. The environmental plan also include waste management and pollution reduction to enhance the public health.",2014,In operation,Policy/Strategies/Action Plans
1418,Unstream dam building Project for the King - Nang Lae Municipality,"Nang Lae Municipality, Thailand",Thailand,"The upstream dam building project is established on the initiative of the King. The project were conducted by public cooperation between municipal and local communities to prevent flooding, reduce the severity of soil erosion, tackle drought, and store water for human and animal consumption. The dams have been build 21 dams in 6 villages. Recently, the project evaluation are proceeding.",2014,In operation,Public Participation/Stakeholder engagement
1419,Urgent Flood Prevention Project  - Nonthaburi City Municipality,"Nonthaburi City Municipality, Thailand",Thailand,"Nonthaburi Municipality is located near Chaopraya River and  has hired a consulting company to survey and design a construction project to optimize drainage and prevent flooding. The municipality  requested  the supports from the government as the followings.
1) A construction of embankment from Khlong Bang Talard to Khlong Bang Khen, the budget of 2,654,222,092 Baht.
2) An improvement of pumping station along the river bank from Khong Bang Talad to Khlong Bang Khen, the budget of 242,652,481 Baht.
3) A construction of drainage system under the Sri-Rat Tollway, the budget of 609,348,859 Baht.",2012,In operation,Policy/Strategies/Action Plans
1420,“Patong town ... Tourism and Walking city” under the campaign “Walking with sightseeing and Walking in folllowing the footstep of the King” - Patong Municipality,"Patong Municipality, Thailand",Thailand,"Patong Town Municipality is about 50 kilometers distance from Phuket international airport, Phuket province. The city is the most popular tourist destinations of Phuket. The  number of visitors traveling to Patong can be caculated at 56.55% of all tourists in Phuket, so there are a lot of nonregistered population in the city. Patong town has been improving its infrastructures and public unities that supported the expansion of tourism activities especially in street vendors who were seen as trespassing on public space and pavement. The municipality and responsible organizations received feedbacks from tourists who want to walk around the city streets to explore the culture and surroundings but the stalls block pedestrians from using the pavement. The passers-by and tourists had to increasingly use gasoline-powered vehicles to travel in town. This resulted in both the increasing number of gasoline consumption and the higher statistical rate of automobile accidents involving tourists in town. Patong town municipality has done GHG Inventory Management during the year 2015-2016, it was found that the main source of GHG emission came from gasoline consumption of transport in the city at 37%. Thus, the management of Patong town saw the importance of promoting “Walking” aimed at creating a positive image of Patong town as sustainable tourism city with zero accidents and enhancing better health for local people. Walking is simple, easy, and no-cost activity. In addition, in social level, walking can slow down the speed of travel, and distribute income to vendors in town. It can develop grassroots economy and promote more interaction and communication among people. Therefore, Patong town municipality has created “Patong town ... Tourism and Walking city” under the campaign “Walking with sightseeing and Walking in folllowing the footstep of the King” to motivate the tourists and local people in Patong town municipality to choose the walking to travel along the main street and in developed municipal park. There were 5 important activities as follows: 1. Clearing and Cleaning Pavement 2. Creating more green space in the parks and public areas. 3.  Changing the old street lighting to LED street lighting to save energy and provide more safety to pedestrains. 4. Promoting walking in the city for local people and tourists  and 5. Big Cleaning Week project. The outcomes of these activities included the clean and beautiful pavement, no steet stalls to block the walking ways, and the number of tourists who prefer walking around the town to using motorcylces or cars has been increased. The municipality planned to collect the date to measure GMG emission reduction rates resulted from this walking campaign.",,In operation,Regulation
1421,Low Carbon Learning Center and Organic Farming Demonstaration Site towards sufficiency economy - Phanat Nikhom Town Municipality,"Phanat Nikhom Town Municipality, Thailand",Thailand,"The Phanat Nikhom municipality received monetary award and a budget to support them in various projects to combat climate change and improve the municipality's livability. The project is to develop a 5 acre land that was a landfill into an education center with demonstrations on good conservation behavior and bringing all projects and activities related to reducing carbon emission whether the tree collection project, waste separation and energy production from waste and wastewater, and organic farming. Currently, the land has been prepped and personnels were recruited from both the municipality government and community with a seminar on how to have an efficient organic farm. There has been experimentations with planting a patch of organic plants, making compost in the municipality office and community. The goal is to have a market of environmentally friendly products and be a center of education for other subdistrict administration organizations around ASEAN for other communities to have additional income as well.",,In operation,Education/Awareness Raising
1422,Green Office - Phanat Nikhom Town Municipality,"Phanat Nikhom Town Municipality, Thailand",Thailand,"The municipality has plans for a Green Office with the following activities:
1. Advocating to decrease energy use in the work building 
There is a policy for employees to help conserve energy and a policy to change important elecetronics such as switching to a level 5 energy efficient air conditioner, switching to LED light. This will decrease energy use by 1,500 units or an estimated 10,000 Baht per month. 
2. Green procurement 
The goal for this is clear that there will only be procurements and outsourcing from organizations that are environmentally friendly. The municipality is able to have 18,418 units or 98.71% of products and services be environmentally friendly. There has been a record from 2011-2013. 
3. Using a multi-purpose solution produced by the community in place of chemically mixed products such as bathroom cleaning solution, hand soap and dish washing soap. The building used to have these chemically mixed solutions but now, there was a switch to organic mixtures made 100%  from herbs such as kaffir lime, lemon, and star apple. This is also used as a source of additional income for those who are low-income earning.",,In operation,Policy/Strategies/Action Plans
1423,Green Household Products from Organic Waste towards Sustainable Community  - Phanat Nikhom Town Municipality,"Phanat Nikhom Town Municipality, Thailand",Thailand,"Since most of the waste in the municipality is biodegradable, there was a seminar on how to convert fresh food waste through microbial fermentation and repurpose as everyday products such as shampoo, dish-washing soap, liquid soap, multi-purpose chemical and use these products in place of commercial products. The goal is to decrease the amount of organic waste, reduce the use of chemicals and costs while generating additional income while creating a sense of community by working together to improve the environment. The municipality also wishes to conserve traditional Thai culture of using herbs by gathering a group of members from the 12 community to establish a group called ""Save the Earth"" which has 60 members. The group is able to reduce organic waste by 500 kg per month and generate 5000 Baht in income from selling these products from herbs. More over, the community is able to come together 15 days a month which creates a sense of unity in the community. The funds from the product sales is used as working capital, organize activities that improves the environment and other purposes that benefit the community and municipality.",,In operation,Public Participation/Stakeholder engagement
1424,Community Organic Farming towards Food Security for sufficiecy economy - Phanom Sarakham Municipality,"Phanom Sarakham Municipality, Thailand",Thailand,"Choose one community each year to educate them on how to engage in sustainable and self-sufficient agriculture by not using chemicals and follow the philosophy of the King of a self-sufficient lifestyle. Currently, there are 3 prototype communities and 1 farm designated as a learning center. The produce from the prototype farms can be consumed and sold in the center and community which is additional income for the community, decrease expenses and reduces transportation distance for produce delivery from farms far away.",,In operation,Public Participation/Stakeholder engagement
1425,To dig the troves for higher water capacity  - Phuket City Municipality,"Phuket City Municipality, Thailand",Thailand,"The City of Phuket started producing their own water on October1, 1971 which is the last 44 years. Presently, 1,710 m3 of water is being produced per hour and covers the whole city and some area outside. The hard water source is the Bang Wad reservoir which has the capacity of 10.6 million m3. Another water source is water trove and 5 old tin mines which is not owned by the City of Phuket. Since there has been an expansion of the city and tourism, the city has to have a water reserve for water security as well as purchasing water from the regional department of water and private companies to reduce the risk of running out of water. There is also a project to dig the troves for higher water capacity in case of heavy rain and the result has been good since Phuket has not had a serious water shortage while still having a water reserve and flood protection.",,In operation,Technical/Infrastructure investment
1426,Eco School - Phuket City Municipality,"Phuket City Municipality, Thailand",Thailand,"From the City of Phuket’s policy to becoming a nice city to live in by the mayor, with a major strategy being energy and environmental conservation in city improvement, 7 schools in the city district are important targets in creating environmentally conscious mindset for future generations. The mayor wanted the following activities to be implemented: a campaign to reduce energy use, and using water cautiously by drinking from a cup and not directly from the faucet. The city is also trying to find ways for alternative energy by focusing on solar energy, teaching students about waste separation, and establishing a recyclable waste bank (selling the wastes that are separated from the school and homes, and putting it in an account book with prices for those who give the most to the bank). There is also the reusing of waste for crafts in the schools and teaching students to use both sides of the paper and using reusable cloth bags rather than plastic bags. Students are encouraged to bring toxic wastes from home to throw away in the designated toxic waste bin at the school with monetary rewards as the incentive. Organic waste from the school cafeteria is used as fertilizer and used in the herb garden, floating garden, and vegetable garden in the school for use in the school lunches. The students get fresh vegetable and teaching students not the waste food.",,In operation,Education/Awareness Raising
1427,Phuket Sustainable Waste Management Technology Transfer Center - Phuket City Municipality,"Phuket City Municipality, Thailand",Thailand,"Stemming from the informal conjugation of the private sector and civil society such as retail establishments. In environmental management, especially the waste problem where there is more than 50% organic waste. The conjugation of those from the private sector and civil society led to the establishment of the Union of Environmental Protection who work together to reduce and reuse organic waste. The Union of Environmental Protection then became the Foundation for Environmental Science, Phuket for the personnel to receive monetary support from the city legally. The goal of the foundation is to improve different activities that will foster knowledge on environmental science and energy in the Phuket province. The main activities are aimed at increasing efficacy, creating an environmental conscious, public relations, and creating a network in all related sectors and having them all involved in environmental management. The knowledge if on repurposing waste with 17 learning stations that connects the 12 waste education centers in Phuket province. Cooperation from this network can reduce the increase of waste by 1% (from 7.3% increase in waste each year to 6.3% in 2015)",,In operation,Public Participation/Stakeholder engagement
1428,Economy Efficiency Learning Centers for Poverty Alleviation and Food Security - Pong Municipality,"Pong Municipality, Thailand",Thailand,"Government policy and the management of the municipality wish to promote the philosophy of living a sufficient lifestyle. There has also been a policy to change the area around office into a demonstration and learning center about how to live sufficiently. In an area of ​​about 15 Rai, they are developing 10 learning points, including vegetables, herbs, animal husbandry, cultivation of herbs, garden vegetable, mushroom, and ivy, a nursery, organic fertilizer, edible trees, off-season fauna, and planting rubber trees. The area is then open to the community and other municipalities to study. It is then used to promote the center in the same manner in 8 out of 10 communities in the area. Currently, this area is used as a learning resource center in Pong Municipality where residents and staff use take the produce home to cook and repurpose. This reduces the distance, transportation and saves municipal budget.",,In operation,Education/Awareness Raising
1429,Walk and Bike Friendly City Project - Ranong Town Municipality,"Ranong Town Municipality, Thailand",Thailand,"The project has started since 2015 under the corporation between Ranong Town Municipality and important associate organizations including Cyclist's Federation (of upper south of Thailand), Thai Health Promotion Foundation, Thailand Walking and Cycling Institute Foundation, PTT Exploration and Production Public Company Limited (PTTEP), King Mongkut's Institute of Technology Ladkrabang, and Silpakorn University Phetchaburi IT Campus. The objective of the project is to create local actions to drive walk and bike culture in the city concretely. The obvious results in operating the project are as follows: 
• Signed a Memorandum of Understanding (MOU) with associate organizations to drive Ranong Town to become Walk and Bike Friendly City.  
• Drafted the action plan, detailed plans, and performance indicators of city/ community/ school that supported walk and bike in daily life and operations of community and school as follows:   
• Ranong Kindergarten: The school runs from kindergarten through primary level and has about 1,100 students. The problem of this school is the traffic jam during rush hour both in the morning and afternoon because of school picking up and dropping off students at school. The project helped to solve this problem by designing walking route around the school and adjusting school's landscape to support walk and ride. Moreover, the traffic management was implemented having by one-way system during rush hour and the parking space for cars and motorbikes were organized properly.    
• Community has developed many project initiatives such as Walk and Bike in Daily Life project, promoting the use of environmentally-friendly materials in markets,   preserving trees and improving landscape in the area of Raksa Warin Hot Spring and Rattanarangsan Palace to be beautiful and pleasant for walk and ride. In the future, the municipality aims at increasing number of people who walk and/or ride at least 15%. Eventhough, the impact of this action is small in term of emission reduction and job creation but it will help to shift the life style of the people toward sustainable mobility.",,In operation,Stakeholder engagement
1430,Dengue Fever and Insect-Borne Diseases Control Project - Sikhio Town Municipality,"Sikhio Town Municipality, Thailand",Thailand,"Dengue Fever is one of the threat to people life in Sikhio Municipality. Because of climate change recently, infection of mosquito-borne disease may increase. Municipality tries to control this epidemic by teach people to protect themselves, work with community to destroy mosquito's breeding site, especially in still water area.",2014,Completed,Education/Awareness Raising
1431,Flooding Plans of Sisaket city  - Sisaket Town Municipality,"Sisaket Town Municipality, Thailand",Thailand,"Flooding plans are for prevent and help people in flood disaster. The project has set up the surveillance unit and using water level in Huai Sumran as an indicator to move people who live in high-risked area and their properties to the safe area provide by Municipality, including food, water supplies, taking care of people health, and other needs during the flood.",2014,In operation,Policy/Strategies/Action Plans
1432,Climate Change-Related Disease Control Training Program for Public Health Volunteers (PHV)  - Sisaket Town Municipality,"Sisaket Town Municipality, Thailand",Thailand,"Division of Public Health and Environment attempt to make a better understanding and local participation  in dealing with health effects which may be the result from climate change. The workshops will be held every months to  emphasize information and roles, including evaluate PHVs' action in public health service and monitor infectious diseases in communities. The target is to have 496 volunteers.",2014,In operation,Education/Awareness Raising
1433,Rapid Response Unit  of Dangue Fever - Sisaket Town Municipality,"Sisaket Town Municipality, Thailand",Thailand,"Municipality establishes ""Rapid response unit"" including well-trained PHVs and officers of Municipality's Public Health Center to work in every communities to promote  destroy mosquito breeding site campaign to decrease  dengue infection rate. The campaign has 3 phase; protection before the outbreaks, control during the outbreaks, and follow up after the outbreaks to decrease dengue infection rate.",2014,In operation,Policy/Strategies/Action Plans
1434,Safety Food for Health and the Environment Project   - Sisaket Town Municipality,"Sisaket Town Municipality, Thailand",Thailand,"To decrease the outbreaks of gastrointestinal disease which is one of the effects from climate change, Municipality watches out and checks up for food security quality in the area of more than 400 restaurants by examine and approve restaurants on 10 routes. Besides, the campaign for safe food is held by random testing for contaminants in both markets and restaurants and watch out for polar in used oil which may be the cause of cancer.",2013,In operation,Policy/Strategies/Action Plans
1435,Thungsong Global Warming Learning Center - Thung Song Town Municipality,"Thung Song Town Municipality, Thailand",Thailand,"In 2009, Tung Song Municipality participated in the Stop Global Warming project managed by Toyota Motors Thailand and the Center for the Environment, Thailand which led to practical achievement and chosen as the center of environmental education in the region specializing in global warming and climate change. The old building was developed into a permanent exhibition and developed the area around it into a learning space. There were many activities that helped with creating knowledge and understanding how to become more environmentally conscious. The main target are the public citizens, youths, and students from all over the Southern region of Thailand. An average of 3000 visitors come to the center. Evaluations reveal that children have more understanding about this subject. There is also report of a change in behavior, especially in conserving energy and separating waste.",,In operation,Education/Awareness Raising
1436,Integrated Water Management of Trang River Basin - Thung Song Town Municipality,"Thung Song Town Municipality, Thailand",Thailand,"From the year 2005-2005, Tung Song Municipality was heavily damaged from the flood which caused 850,000 USD in damage. The municipality then had an idea for an integrated water management plan with cooperation from all sectors. In determining the management plan, the watersheds were divided into three phases: short-term phase, medium-term phase, and long-term phase. It was successful in alleviating the problem of flooding in the municipality and a network for monitoring and water management was created that was made up of members from the government, private sectors, CSOs and education centers in the 3 watersheds.",,In operation,Policy/Strategies/Action Plans
1437,Organic Farming toward food safety and security - Umong Municipality,"Umong Municipality, Thailand",Thailand,"This project aims to promote organic farming in community which is good for health and environment. Municipality supported the market for organic farmer and encourage organic farmers to sell organic product in this market. This project lead to increase farmer income, unity of community for orgnic farming knowledge exchange, and good health. These bring the community to be the good model of organic farming.",2012,In operation,Public Participation/Stakeholder engagement
1438,Global Warming Learning Center @ Umong City - Umong Municipality,"Umong Municipality, Thailand",Thailand,"Umong Municipal District have built global warming learning center for local people and other. This aims to make people realise, understand, and try to help our world. This 'Umong City' is a learning center for learing Umong's people life, presented in learning sub-stations, such as Umong's Lifestyle, Goods from Umong's people, Local Plants in Umong, Herbal fences the amazing benefit, Fridge in the yard, and Little Bikers defense global warming.",2011,Completed,Education/Awareness Raising
1439,Reserch on food transportation for food security - Yasothon Town Municipality,"Yasothon Town Municipality, Thailand",Thailand,"From observations, it was noted that sources of staple food for the people in Yasothon were transported from other provinces at a distance beyond 800 km, so there was a study conducted about the transport of food in partnership with Health Promotion Fund. The purpose of the study is to promote food production with reduced transport distance and more healthy. The study was conducted by collecting data by interviewing three groups of manufacturers and transport companies in the municipality area. The study showed that food transport has carbon emissions by up to 800 KgCo2e per day or 300,000 KgCo2e per year, which has resulted in defining a public policy on sustainable consumption at the province level. The study has also initiated the urban farming and biodiversity conservation in the river with one pilot community and extendeding to at least three communities in 2016.",,Completed,Assessment/Research
1440,New Public Park towards livable city - Yasothon Town Municipality,"Yasothon Town Municipality, Thailand",Thailand,"The area in the west of the municipal have land that is along the Chi River and a 48 acres public space that was left uncultivated in the past. The province's urban development policies that focus for local authorities to improve all the landscape and make a land use plan. The municipality administration has initiated the development of the area bordered by Malkin that the new park of the city. The present work has developed the area by planting trees alarm. Develop the necessary infrastructure such as sporting playground, lighted track and space for just the venue of the province and to create a bike lane in the future will have to invest just sport complex.",,In operation,Technical/Infrastructure investment
1441,Green School - Yasothon Town Municipality,"Yasothon Town Municipality, Thailand",Thailand,"The municipality has three schools in the district, totaling to over 3000 students and are places that use energy and release pollution into the city. The school district has a policy that encourages students to make learning activities to encourage good habits and conserve the environment. Under the royal philosophy to live a sufficient lifestyle, District 3 School is an example of a kindergarten level school with 700 students and holds student activities Day Camp annually. The camp has a demonstration farm to learn about being a farmer. Afterwards, food scraps from the cafeteria and homes were converted to microbial fermented water to water and fertilize the plants in the demonstration farm as well as the farm where garden vegetables were grown for student lunches. Students were taught to use clean water instead of chemical while reducing odors in the sewer. What was left of the fermented water was bottled and sold to parents. Because the issues that the school produces a lot of garbage, they tried to raise awareness by instituting a recycling bank. By working in conjunction with the Department of Environment District 2, students were taught to bring waste from home and received an award for their work. The result is the number of trips to collect garbage at school dropped from two to one per day. The kids that are working on this project are able to work together and earn an income as well.",,In operation,Education/Awareness Raising
1442,Istanbul Energy Policies and CO2 reduction in the metropolitan - Istanbul Metropolitan Municipality,"Istanbul Metropolitan Municipality, Turkey",Turkey,The Project aims to promote sustainable energy policies in Istanbul metropolitan municipality and the district municipalities by improving in the municipal buildings to support energy efficiency projects (pilots) and share best practices with district municipalities.,2009,Completed,Policy/Strategies/Action Plans
1443,impacts of climate change on water resources in İstanbul   - Istanbul Metropolitan Municipality,"Istanbul Metropolitan Municipality, Turkey",Turkey,planning of Rain-flow amount and water management,2008,Completed,Assessment/Research
1444,Ayamama Creek Rehabilation - Istanbul Metropolitan Municipality,"Istanbul Metropolitan Municipality, Turkey",Turkey,prevent to overflowing and climate change adaptation,2008,In operation,Technical/Infrastructure investment
1445,development of a GIS-based decision support system for urban air quality management - Istanbul Metropolitan Municipality,"Istanbul Metropolitan Municipality, Turkey",Turkey,"A decision support system for urban air quality management was developed for the first time for a metropolitan city in Turkey within the scope of LIFE06-TCY/TR/000283. According to the results of the study, İstanbul Metropolitan Municipality has prepared an action plan titled “İstanbul Air Quality Strategy” to have a better air quality in future.",2007,Completed,Education/Awareness Raising
1446,Monitoring Gas Consumption for Thermo-rehabilitation of Residential Buildings  - Istanbul Metropolitan Municipality,"Istanbul Metropolitan Municipality, Turkey",Turkey,"encouraging cooperation to increase the capacity of energy efficiency and environment and decreasing  heating costs, energy consumption and carbon-dioxide emission are the main objectives.",2007,Completed,Assessment/Research
1447,Proper Irrigation - Nevsehir Municipality,"Nevsehir Municipality, Turkey",Turkey,"Grass has been removed in city refuges and parks; planting
work is underway. To date, some 17,600 m of mains
have been installed to transition to a drip irrigation method
chosen to decrease the amount of fuel oil consumed by irrigation
trucks as well as subsequent water loss. Studies are
underway to transition to this system in all central city areas
as well as in the newly rebuilt parks.",2010,In operation,Technical/Infrastructure investment
1448,"The Fifth Annual Southeast Florida Regional Climate Leadership Summit  - Broward County, FL","Broward County, FL, United States",United States,"Broward County can use the hosting of the 2013 Summit to launch a public outreach campaign to engage all of Southeast Florida in the conversation about our risks, our opportunities, and our future in a changing world. While previous summits have attracted 150 – 300 high-level decision makers each year, no small success in its own regard, the next summit could focus on maintaining this strategic inclusion and involvement, while exploring new strategies to engage a broader segment of the general public. Using a multi-generational, multi-lingual, multi-media approach, the 2013 Summit can be the focal point of a new outreach campaign aimed to increase understanding by the general public of the unique risks of climate change to Southeast Florida’s 5.5 million residents, the vulnerability to our public and private investments, and the strategies to ensure long-term sustainability of our economy and natural environment. (full proposal attached)",2013,In operation,Education/Awareness Raising
1449,"Advanced Hydrologic Modeling with USGS - Broward County, FL","Broward County, FL, United States",United States,"In specific support of the County’s climate adaptation planning efforts, we have secured cost share support from the U.S.  Geological Survey (USGS) to develop a climate/stormwater vulnerability model that will provide a comprehensive assessment of the climate related impacts of sea level rise and increased intensity of storms on water management infrastructure and practices in coastal and inland Broward County.  As part of this 4‐year project, the County’s integrated surface and groundwater model will be coupled with variable density flow and transport models and down‐scaled climate models to evaluate the projected impacts of climate change to vulnerable coastal and inland areas to identify and test various adaptation strategies necessary to maintain current levels of flood protection.  The results of this project are expected to guide future adaptation strategies and investments in infrastructure recognized to enhance the resiliency of the Broward community to climate change.",2012,In operation,Assessment/Research
1450,"Broward County 2012 Enhanced Local Mitigation Strategy - Broward County, FL","Broward County, FL, United States",United States,"The County has been working to connect emergency management and climate change planning.  The new Broward County 2012 Enhanced Local Mitigation Strategy (eLMS) includes a new subsection on climate change and sea level rise in the Risk Assessment chapter, and utilizes wind, flood, and sea level rise hazard risk information in a new Economic Vulnerability chapter. ",2012,Completed,Policy/Strategies/Action Plans
1451,"The First Southeast Florida Regional Climate Leadership Summit  - Broward County, FL","Broward County, FL, United States",United States,"The first Southeast Florida Regional Climate Leadership Summit, held October 23, 2009, was hosted by the Broward County Board of County Commissioners in partnership with Palm Beach, Miami-Dade, and Monroe counties. 
Participating were local officials, federal and state legislators, regional transportation, planning and water management authorities, and members of the regional Climate Change/Green Task Forces for the four counties. The purpose of this precedent-setting summit was to develop a regional collaboration that will support a coordinated climate change strategy.
The event convened the elected leadership of southeast Florida for a focused dialog on the regional challenges and threats associated with global climate change and to set the state for adoption and implementation of a regional climate compact. The program featured speakers of national stature on climate change policy, as well as speakers on local mitigation and adaptation challenges. At the conclusion of the summit, the four participating County representatives endorsed a landmark Regional Climate Change Compact, later approved by all 4 county commissions, in which they agreed to an ongoing collaboration on regional climate change issues. 
The Summit was attended by over 300 individuals including 56 elected officials at the municipal, county, state and federal levels, representatives of 34 municipalities, the regional planning agencies, and members of the respective county-wide Climate Change/Green Task Forces. ",2009,Completed,Education/Awareness Raising
1452,"Energy and Sustainability Program - Broward County, FL","Broward County, FL, United States",United States,"Through the Broward County Natural Resources Planning and Management Division , this program plays a central role in addressing climate change in Broward as part of the County’s commitment to build climate resiliency into local programs and long‐term plans.  ",2008,In operation,Policy/Strategies/Action Plans
