,organization,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,most_prevalent_topic,entity_type,coordinator,city,country,constituency
1033,University of North Carolina,8.074158358795103e-06,1.9834510567307007e-06,2.0242100617906544e-06,0.05096253380179405,1.5434550732607022e-05,2.9197010462667095e-06,4.1864605009322986e-05,9.44881176110357e-05,0.664247989654541,8.378465281566605e-05,4.4529700971907005e-05,8.299412911583204e-06,0.0014445597771555185,0.2702299952507019,0.008222455158829689,0.004544059280306101,1.96740438695997e-06,4.3050924432463944e-05,9,Non-governmental organizations,Ms. Angel Hsu,Chapel Hill,United States of America,Constituency - Youth
1034,University of Oslo,9.066239726962522e-06,2.227159939138801e-06,2.272926849400392e-06,0.1362520158290863,1.7331010894849896e-05,3.2784478207759093e-06,4.701738725998439e-05,0.00010493409354239702,0.5788002610206604,9.407036850461736e-05,0.019495133310556412,9.319171113020275e-06,0.14378616213798523,0.023809172213077545,0.008988947607576847,0.08852823078632355,2.2091414848546265e-06,4.834084757021628e-05,9,Non-governmental organizations,Ms. Christina Voigt,Oslo,Norway,Constituency - Research and independent
1035,University of Oxford,5.993754712108057e-06,1.4723910908287507e-06,1.502647933193657e-06,0.24431325495243073,1.1457652362878434e-05,2.1674050003639422e-06,3.1078012398211285e-05,6.937790749361739e-05,0.6022135615348816,0.008500711061060429,3.305711652501486e-05,6.160969405755168e-06,0.04802962392568588,0.08605625480413437,0.00012248005077708513,0.010568438097834587,1.460478870285442e-06,3.1959472835296765e-05,9,Non-governmental organizations,Ms. Anne Loreto Ryan,Oxford,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent
1036,University of Reading,9.147398486675229e-06,2.247096972496365e-06,2.293273610121105e-06,0.5799301266670227,1.7486152501078323e-05,3.307795850560069e-06,4.7431640268769115e-05,0.00010642447887221351,0.27262938022613525,9.476678678765893e-05,5.044461795478128e-05,9.402594514540397e-06,0.08485835790634155,0.02046721614897251,0.00019916187738999724,0.035284243524074554,2.228917082902626e-06,0.006286290008574724,4,Non-governmental organizations,Ms. Rosalind Cornforth,Reading,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent
1037,University of Southern Denmark,3.2662078410794493e-06,8.023577038329677e-07,8.188457627511525e-07,0.21049217879772186,6.243677944439696e-06,1.1810951718871365e-06,1.6936724932747893e-05,0.015801619738340378,0.49027007818222046,3.380586713319644e-05,1.801170947146602e-05,3.357329205755377e-06,0.01805925741791725,0.011712005361914635,0.03110170178115368,0.2186155617237091,7.9586635592932e-07,0.0038623306900262833,9,Non-governmental organizations,Mr. Nicola Tollin,Odense M,Denmark,Constituency - Research and independent
1038,"University of St. Gallen, Institute for Economy and the Environment",3.1476297408516984e-06,7.73228521211422e-07,7.891180189290026e-07,0.003292452311143279,0.04579493775963783,1.13821613467735e-06,1.6320989743690006e-05,0.024719394743442535,0.21233661472797394,3.26528497680556e-05,1.735621117404662e-05,3.2354430459236028e-06,7.02983234077692e-05,0.3321656584739685,0.27508071064949036,0.03478002920746803,7.669728461223713e-07,0.07168375700712204,14,Non-governmental organizations,Mr. Rolf Wüstenhagen,St. Gallen,Switzerland,Constituency - ENGO
1039,University of Sussex - Sussex Energy Group,1.591837644809857e-05,3.91041612601839e-06,3.990773620898835e-06,0.03172629699110985,0.0030014892108738422,5.756252903665882e-06,8.253818668890744e-05,0.08146350085735321,0.3557465672492981,0.00016507708642166108,8.778247865848243e-05,1.6362469978048466e-05,0.19511690735816956,0.04024823009967804,0.2006659209728241,0.04237071052193642,3.87877980756457e-06,0.04927510768175125,9,Non-governmental organizations,Mr. Rob Byrne,Brighton,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental
1040,University of Technology Malaysia,3.082803004872403e-06,7.573034963570535e-07,7.728657465122524e-07,0.2151222974061966,5.893081379326759e-06,1.1147740224259906e-06,1.5986504877218977e-05,0.014338058419525623,0.5291600227355957,0.012181191705167294,0.025767343118786812,3.1688075523561565e-06,0.060302093625068665,0.0023430129513144493,6.727365689584985e-05,0.1362660825252533,7.511766852985602e-07,0.004421092104166746,9,Non-governmental organizations,Mr. Mohd Ismail Abd Aziz,Johor,Malaysia,Constituency - Research and independent
1041,University of Texas at Austin,1.0182136975345202e-05,2.5012848254846176e-06,2.5526849185553147e-06,0.14126181602478027,1.9464157958282158e-05,3.6819681099586887e-06,5.2798641263507307e-05,0.03278380259871483,0.33006012439727783,0.10177109390497208,0.0021034725941717625,1.0466200365044642e-05,0.0021675224415957928,0.3885689973831177,0.00020079026580788195,0.0009239735081791878,2.48104856837017e-06,5.4287615057546645e-05,14,Non-governmental organizations,Ms. Katherine Duncker Romanak,Austin,United States of America,Constituency - Research and independent
1042,University of Tokyo,1.1146486940560862e-05,2.7381815925764386e-06,2.794449756038375e-06,0.016224481165409088,2.13076091313269e-05,4.030687250633491e-06,5.780240462627262e-05,0.00333052477799356,0.7187005877494812,0.011524868197739124,6.146582745714113e-05,1.1457454093033448e-05,0.05822337791323662,0.023983512073755264,0.00023217718990053982,0.029322031885385513,2.71602880275168e-06,0.13828296959400177,9,Non-governmental organizations,Mr. Shuichiro Asao,Tokyo,Japan,Constituency - Research and independent
1043,University of Toronto,6.617508461204125e-06,1.6256187791441334e-06,1.6590244058534154e-06,0.3496348559856415,1.265001901629148e-05,2.3929608232720057e-06,0.0022943802177906036,0.004697126802057028,0.5265669226646423,6.861455040052533e-05,3.649212158052251e-05,6.802124971727608e-06,0.00013947495608590543,0.07193394750356674,0.033094342797994614,0.01146518811583519,1.6124669173223083e-06,3.528378147166222e-05,9,Non-governmental organizations,Mr. Matthew Hoffmann,Toronto,Canada,Constituency - Research and independent
1044,University of Vermont,6.851996658951975e-06,1.6832218534545973e-06,1.7178113012050744e-06,0.1654137670993805,0.006291334982961416,2.4777543785603484e-06,0.01323103066533804,0.01866244524717331,0.6272764205932617,0.002575068734586239,3.778717655222863e-05,7.043155164865311e-06,0.016334062442183495,0.14208896458148956,0.0001442105567548424,0.003716211300343275,1.6696039892849512e-06,0.004207284655421972,9,Non-governmental organizations,Ms. Bettine Gioia Thompson,Burlington,United States of America,Constituency - Research and independent
1045,University of Washington,5.167115432413993e-06,1.2693236612904002e-06,1.2954076282767346e-06,0.3127414286136627,0.000836954393889755,1.8684835367821506e-06,2.679309000086505e-05,0.004366475157439709,0.3720436990261078,0.012947393581271172,2.849371412594337e-05,5.311268523655599e-06,0.00011038087541237473,0.2367507964372635,0.00010588349687168375,0.05999792367219925,1.2590544429258443e-06,2.7553713152883574e-05,9,Non-governmental organizations,Mr. Jeffrey Milner Riedinger,Seattle,United States of America,Constituency - Research and independent
1046,University of Waterloo,4.237926532368874e-06,1.0410644790681545e-06,1.0624579545037705e-06,0.12239805608987808,8.101214916678146e-06,0.00031168092391453683,0.0004212129570078105,4.9053269322030246e-05,0.7302970290184021,4.388844536151737e-05,2.3371627321466804e-05,4.356157205620548e-06,0.07019715756177902,0.030415033921599388,0.005722223315387964,0.01980113983154297,1.0326419896955485e-06,0.02030026912689209,9,Non-governmental organizations,Mr. Simon Christian Glauser,Waterloo,Canada,Constituency - Research and independent
1047,University of Zurich,7.868671673350036e-06,1.9329722817928996e-06,1.9726940081454813e-06,0.379232794046402,1.5041740880405996e-05,2.845394647010835e-06,4.079993595951237e-05,9.04447806533426e-05,0.24486586451530457,8.143202285282314e-05,4.338792132330127e-05,8.08819277153816e-06,0.04284822195768356,0.05329824239015579,0.00016687903553247452,0.27925029397010803,1.917333975143265e-06,4.195872679702006e-05,4,Non-governmental organizations,Ms. Anna Katharina Michaelowa,Zurich,Switzerland,Constituency - Research and independent
1048,Université Cadi Ayyad de Marrakech,4.440707471076166e-06,1.0908785270657972e-06,1.113295525101421e-06,7.690269558224827e-05,8.488849744026083e-06,1.6058066876212251e-06,2.3026037524687126e-05,5.1107013860018924e-05,0.4502493441104889,0.0012938404688611627,2.4488075723638758e-05,4.5645952013728675e-06,9.588018292561173e-05,0.012904299423098564,0.03238030523061752,0.5028547644615173,1.0820529041666305e-06,2.3679009245825e-05,16,Non-governmental organizations,Mme Fatima Arib,Marrakech,Morocco,Constituency - Research and independent
1049,Université Laval,7.200469099188922e-06,1.7688255411485443e-06,1.805174065339088e-06,0.1515401303768158,1.3764406503469218e-05,2.603765551612014e-06,0.004410669673234224,8.409065048908815e-05,0.5427334904670715,7.47841113479808e-05,3.9703361835563555e-05,7.401349193969509e-06,0.0003942033217754215,0.07013648748397827,0.04058906063437462,0.18992267549037933,1.7545152104503359e-06,3.839338751276955e-05,9,Non-governmental organizations,Ms. Liliana Diaz,Québec,Canada,Constituency - Research and independent
1050,Université Libre de Bruxelles,7.06883974999073e-06,1.7364901623295736e-06,1.7721743006404722e-06,0.005411241669207811,1.3512782970792614e-05,2.5561669190210523e-06,3.6653153074439615e-05,8.097119280137122e-05,0.6286032199859619,7.306519546546042e-05,3.8988786400295794e-05,7.266047305165557e-06,0.025669220834970474,0.0013555069454014301,0.002122048754245043,0.33285292983055115,1.7224414250449627e-06,0.00372044974938035,9,Non-governmental organizations,Mr. Edwin Zaccaï,Bruxelles,Belgium,Constituency - Research and independent
1051,Université de Brest,8.698133569851052e-06,2.1367329736676766e-06,2.1806417862535454e-06,0.008516822941601276,0.004941162187606096,3.1453366773348534e-06,4.510186045081355e-05,0.00010049157572211698,0.4579514265060425,9.024216706166044e-05,4.7969500883482397e-05,8.940794941736385e-06,0.1464325338602066,0.04140106961131096,0.00019512392464093864,0.3395945429801941,2.1194462078710785e-06,0.0006563404458574951,9,Non-governmental organizations,M. Yves-Marie Paulet,Brest,France,Constituency - Research and independent
1052,Université de Liège,4.5666579353564885e-06,1.1218187410122482e-06,1.144871589531249e-06,0.0012299703666940331,8.729616638447624e-06,1.6513517948624212e-06,2.367891102039721e-05,5.248305023997091e-05,0.6422269344329834,0.012141155079007149,2.5181559976772405e-05,4.694059498433489e-06,0.013087248429656029,0.008651790209114552,0.04574215039610863,0.27489539980888367,1.1127428933832562e-06,0.0019009761745110154,9,Non-governmental organizations,Mr. François Gemenne,Liège,Belgium,Constituency - Research and independent
1053,Université de Montréal,5.083399173599901e-06,1.2487583944675862e-06,1.2744197874781094e-06,0.18878470361232758,9.717418834043201e-06,1.8382107782599633e-06,2.6358353352406994e-05,5.8467488997848704e-05,0.5802150964736938,0.011663297191262245,2.8032354748575017e-05,5.225216682447353e-06,0.0001256749383173883,0.06273027509450912,0.00010943086817860603,0.1562059372663498,1.238655499946617e-06,2.7104544642497785e-05,9,Non-governmental organizations,Mr. Frederic Merand,Montreal,Canada,Constituency - Research and independent
1054,Université de Sherbrooke,8.000345587788615e-06,1.9653184608614538e-06,2.005704800467356e-06,0.25057387351989746,1.5293448086595163e-05,2.893009423132753e-06,4.148403968429193e-05,0.0036605934146791697,0.49437659978866577,8.286677621072158e-05,4.4119140511611477e-05,0.0010674018412828445,0.00240274122916162,0.022052669897675514,0.006068000104278326,0.2195548415184021,1.949418447111384e-06,4.2657600715756416e-05,9,Non-governmental organizations,Ms. Denyse Remillard,Sherbrooke,Canada,Constituency - Youth
1055,Unión de Industriales para Saneamiento Cuencas Matanza Riachuelo y Reconquista,1.0071265023725573e-05,2.4740486423979746e-06,2.524889168853406e-06,0.01928350329399109,0.0032771751284599304,3.6418757645151345e-06,5.2227456762921065e-05,0.015636324882507324,0.017698019742965698,0.1700925976037979,0.003726021619513631,0.003402778645977378,0.00034478490124456584,0.27291932702064514,0.3561084568500519,0.0496685691177845,2.454032937748707e-06,0.08776906877756119,15,Non-governmental organizations,Mr. Mariano Villares,Buenos Aires,Argentina,Constituency - Business and Industry
1056,Uppsala University,5.879190666746581e-06,1.4442479141507647e-06,1.473926545259019e-06,0.10744456201791763,0.0031908266246318817,2.1259775166981854e-06,3.04864388454007e-05,0.013047234155237675,0.6656980514526367,0.0010857994202524424,3.2419706258224323e-05,6.043209396011662e-06,0.08557329326868057,0.03277009353041649,0.0001322668686043471,0.09094524383544922,1.4325635220302502e-06,3.1347721233032644e-05,9,Non-governmental organizations,Ms. Carmen Rosa Medina Llanos,Uppsala,Sweden,Constituency - Research and independent
1057,Vanderbilt University,1.0887554708460812e-05,2.6745738068711944e-06,2.7295350264466833e-06,0.0017937405500561,2.0812634829781018e-05,3.937054771085968e-06,5.6454449804732576e-05,0.00012495426926761866,0.8620923757553101,0.00011317939788568765,6.005557588650845e-05,1.1191297744517215e-05,0.0002246223302790895,0.10187098383903503,0.02783353067934513,0.0002908080059569329,2.6529355636739638e-06,0.00548444502055645,9,Non-governmental organizations,Mr. Mark Abkowitz,Nashville,United States of America,Constituency - Research and independent
1058,Vasudha Foundation,5.491113824973581e-06,1.348915247945115e-06,1.3766347137789126e-06,0.030055997893214226,0.006818981375545263,1.985644757951377e-06,0.003404454328119755,0.14792925119400024,0.04452614113688469,0.034881096333265305,0.003073435975238681,5.644305929308757e-06,0.008675794117152691,0.5225189328193665,0.027953263372182846,0.01105655450373888,1.3380019936448662e-06,0.15908893942832947,14,Non-governmental organizations,Mr. Srinivas Krishnaswamy,New Delhi,India,Constituency - Environmental CAN
1059,Vermont Law School,4.421127414389048e-06,1.0860685506486334e-06,1.108386754822277e-06,0.008792132139205933,8.45142039906932e-06,1.5987262713679229e-06,0.008377853780984879,0.025107230991125107,0.6551370620727539,0.04032597318291664,2.4380931790801696e-05,4.5444685383699834e-06,0.003034468973055482,0.1979239284992218,0.04773302376270294,0.00012019986752420664,1.0772818086479674e-06,0.013401488773524761,9,Non-governmental organizations,Ms. Sarah Marie Mooney Reiter,South Royalton,United States of America,Constituency - Research and independent
1060,Verra,5.623275228572311e-06,1.38138113925379e-06,1.4097679468250135e-06,0.008661267347633839,0.1723170131444931,2.033435521298088e-06,0.05920303985476494,0.27441662549972534,0.00620329799130559,0.008010542951524258,3.101188121945597e-05,5.780153969681123e-06,0.00012745123240165412,0.2459406852722168,0.21479426324367523,0.006359980441629887,1.370205382045242e-06,0.00391722796484828,8,Non-governmental organizations,Ms. Jessica Herfurth,Washington,United States of America,Constituency - Business and Industry
1061,Victoria University Wellington,6.819071586505743e-06,1.675133603384893e-06,1.709556840978621e-06,0.1276487559080124,0.001170422649011016,2.465848183419439e-06,3.535991345415823e-05,7.885661034379154e-05,0.6659900546073914,0.00888118240982294,3.760774416150525e-05,7.009311048022937e-06,0.05086008831858635,0.11895861476659775,0.0017457808135077357,0.02453562244772911,1.6615812228337745e-06,3.636024484876543e-05,9,Non-governmental organizations,Mr. Jonathan George Boston,Wellington,New Zealand,Constituency - Research and independent
1062,Vikalp,1.5538520528934896e-05,3.817102879111189e-06,3.8955427044129465e-06,0.23745766282081604,2.9703413019888103e-05,5.618892828351818e-06,8.058144157985225e-05,0.03630552440881729,0.11421042680740356,0.02572396770119667,0.12585262954235077,1.5972016626619734e-05,0.14136824011802673,0.2722417116165161,0.0003233155293855816,0.0009100860916078091,3.786221213886165e-06,0.04544755816459656,14,Non-governmental organizations,Mr. Himanshu Banker,New Delhi,India,Constituency - Indigenous peoples
1063,Viracao Educommunication,1.6291922293021344e-05,4.002179139206419e-06,4.084422016603639e-06,0.013640735298395157,3.114361243206076e-05,5.891330602025846e-06,8.4480649093166e-05,0.018262667581439018,0.040315043181180954,0.3487425744533539,8.984101441456005e-05,1.6746436813264154e-05,0.01961052045226097,0.40249866247177124,0.10967442393302917,0.0469120554625988,3.969800218328601e-06,8.687073568580672e-05,14,Non-governmental organizations,Mr. Rafael Alves da Silva,Sao Paulo,Brazil,Constituency - Youth
1064,Virginia Polytechnic Institute and State University,4.6627656047348864e-06,1.1454279729150585e-06,1.168966036857455e-06,0.18962857127189636,8.913335477700457e-06,1.686105179032893e-06,0.0017270828830078244,0.0234815776348114,0.6011043787002563,0.005440882872790098,2.5714844014146365e-05,4.792848358192714e-06,0.00010368716175435111,0.15758095681667328,0.009097285568714142,0.009271210059523582,1.1361611313986941e-06,0.0025151579175144434,9,Non-governmental organizations,Ms. Chelsey Watts,Blacksburg,United States of America,Constituency - Environmental
1065,"Vitae Civilis Institute for Development, Environment and Peace",1.0008603567257524e-05,2.458655444570468e-06,2.5091796942433575e-06,0.042146164923906326,1.9132430679746903e-05,3.6192166135151638e-06,0.0060522351413965225,0.025528084486722946,0.0031320489943027496,0.20405812561511993,5.51948651263956e-05,1.0287824807164725e-05,0.07680569589138031,0.3489256799221039,0.26325973868370056,0.029933210462331772,2.4387641133216675e-06,5.336844333214685e-05,14,Non-governmental organizations,Mr. Delcio Rodrigues,Sao Paulo,Brazil,Constituency - Environmental CAN
1066,Vivre en Ville,6.791937721573049e-06,1.6684681440892746e-06,1.7027543890435481e-06,0.043492481112480164,1.2983458873350173e-05,2.4560363272030372e-06,3.5218443372286856e-05,0.0007848677923902869,0.058928873389959335,0.018138114362955093,3.7450350646395236e-05,6.981420483498368e-06,0.00014751360868103802,0.22428777813911438,0.33877527713775635,0.31530192494392395,1.6549696510992362e-06,3.621776704676449e-05,15,Non-governmental organizations,Mme Claudia Bennicelli,Québec,Canada,Constituency - Local government and Municipal authorities
1067,WWF,0.08293382078409195,2.4009414119063877e-06,2.4502796804881655e-06,0.16145771741867065,1.8683320377022028e-05,3.5342595765541773e-06,0.07437511533498764,0.006451597902923822,0.012361486442387104,0.00010142516111955047,0.018534643575549126,1.0046330316981766e-05,0.00022093273582868278,0.6159537434577942,0.002613372402265668,0.024904504418373108,2.3815171061869478e-06,5.211200914345682e-05,14,Non-governmental organizations,Mr. Mark Lutes,Gland,Switzerland,Constituency - Environmental CAN
1068,Wageningen University,6.038570518285269e-06,1.4834002968200366e-06,1.5138834896788467e-06,0.2569062113761902,1.1543323125806637e-05,2.183610831707483e-06,0.03488966077566147,0.00173080840613693,0.34706926345825195,6.241905794013292e-05,0.023107284680008888,6.2070357671473175e-06,0.16596397757530212,0.008155697956681252,0.0011472055921331048,0.16090479493141174,1.471399059482792e-06,3.219686186639592e-05,9,Non-governmental organizations,Mr. Martin Herold,Wageningen,Netherlands,Constituency - Research and independent
1069,Washington University,8.467351108265575e-06,2.080040530927363e-06,2.1227842808002606e-06,0.1711147129535675,1.6186175344046205e-05,3.0618834898632485e-06,4.39034920418635e-05,0.01190134510397911,0.45534560084342957,0.02082798071205616,4.669059126172215e-05,8.70357507665176e-06,0.00018264840764459223,0.3230624198913574,0.00018380342226009816,0.01720307767391205,2.0632121504604584e-06,4.5146669435780495e-05,9,Non-governmental organizations,Ms. Meghan Chapple,Washington,United States of America,Constituency - ENGO
1070,Water Safety Initiative Foundation,1.5119906493055169e-05,3.7142688142921543e-06,3.7905952012806665e-06,0.13911770284175873,2.890319228754379e-05,5.4675178944307845e-06,0.0053460183553397655,0.08147001266479492,0.004022282548248768,0.12398846447467804,0.032961100339889526,1.5541725588263944e-05,0.00032242582528851926,0.39939749240875244,0.17685149610042572,0.03636617213487625,3.6842191093455767e-06,8.062454435275868e-05,14,Non-governmental organizations,Mr. Unyime Robinson,Uyo,Nigeria,Constituency - Environmental
1071,Welthungerhilfe,2.351307193748653e-05,5.776085345132742e-06,5.8947812249243725e-06,0.03711419925093651,4.494755557971075e-05,8.502574928570539e-06,0.09908699989318848,0.0002714672591537237,0.000500884314533323,0.2012280970811844,0.08840438723564148,2.4169044991140254e-05,0.01650860346853733,0.27905037999153137,0.18304817378520966,0.0410563088953495,5.729355052608298e-06,0.05361193045973778,14,Non-governmental organizations,Mr. Michael Kuehn,Bonn,Germany,Constituency - Environmental CAN
1072,Wetlands International,1.1223792171222158e-05,2.7571718419494573e-06,2.81383040601213e-06,0.049973100423812866,2.1455385649460368e-05,4.058641934534535e-06,0.06614148616790771,0.00012967009388376027,0.002554339123889804,0.03615191951394081,6.189893611008301e-05,1.1536915735632647e-05,0.17624585330486298,0.35343706607818604,0.11953231692314148,0.195655956864357,2.734865347520099e-06,5.9844329371117055e-05,14,Non-governmental organizations,Ms. Leorita Appulo,Wageningen,Netherlands,Constituency - Environmental CAN
1073,Widener University,4.374644504423486e-06,1.0746497309810366e-06,1.0967332855216227e-06,0.263335257768631,8.362563676200807e-06,1.5819175587239442e-06,0.0024237476754933596,0.003381176386028528,0.5738186240196228,0.00500219501554966,2.4123013645294122e-05,4.496689143707044e-06,0.05525607988238335,0.08719899505376816,0.0016459502512589097,0.007868454791605473,1.065955530066276e-06,2.332624171685893e-05,9,Non-governmental organizations,Mr. John Charles Dernbach,Harrisburg,United States of America,Constituency - Research and independent
1074,Wildlife Conservation Society,0.0293418001383543,8.495197789670783e-07,8.669770181768399e-07,0.3560052812099457,6.610677701246459e-06,1.2505192898970563e-06,0.049513522535562515,0.010287929326295853,0.05574076250195503,0.001354000996798277,0.005211448762565851,3.5546709113987163e-06,0.0007386094075627625,0.45212045311927795,7.434779399773106e-05,0.039579447358846664,8.426468980360369e-07,1.8439144696458243e-05,14,Non-governmental organizations,Mr. Todd Stevens,Bronx,United States of America,Constituency - Environmental
1075,WindEurope,6.743231551809004e-06,1.656503172853263e-06,1.6905435131775448e-06,0.0013676285743713379,1.2890351172245573e-05,2.4384235075558536e-06,3.496363933663815e-05,0.4844505190849304,0.00015851762145757675,0.010409368202090263,3.7186739064054564e-05,6.931355073902523e-06,0.1777009665966034,0.057794127613306046,0.14544761180877686,0.12145553529262543,1.6431015410489636e-06,0.0011095786467194557,8,Non-governmental organizations,Ms. Diletta Zeni,Brussels,Belgium,Constituency - Business and Industry
1076,Windward Fund,1.5312250980059616e-05,3.761519110412337e-06,3.838816610368667e-06,0.002830395009368658,2.9270877348608337e-05,5.53707195649622e-06,7.940421346575022e-05,0.016111264005303383,0.025701794773340225,0.00015818201063666493,8.443213300779462e-05,1.573943518451415e-05,0.00034417147981002927,0.8146205544471741,0.10368207842111588,0.0012935047270730138,3.7310871903173393e-06,0.03501702845096588,14,Non-governmental organizations,Mr. Lee Bodner,Washington,United States of America,Constituency - Environmental
1077,Winrock International,0.00211035693064332,1.3918808008384076e-06,1.420483272340789e-06,0.01941891573369503,1.0831148756551556e-05,2.048891246886342e-06,0.03826272487640381,0.026355968788266182,0.037394843995571136,0.027950849384069443,0.03046037070453167,5.824088020744966e-06,0.11950959265232086,0.4557911455631256,0.1997576206922531,0.0016447581583634019,1.3806200058752438e-06,0.04131994768977165,14,Non-governmental organizations,Ms. Mary Grady,Little Rock,United States of America,Constituency - Environmental CAN
1078,Women Engage for a Common Future,1.0920986824203283e-05,2.6827863166545285e-06,2.7379164748708718e-06,0.00019020435865968466,0.042395707219839096,3.949144229409285e-06,0.0023850935976952314,0.024848386645317078,0.008690117858350277,0.15351079404354095,6.022377419867553e-05,1.1225663001823705e-05,0.20563457906246185,0.3118973672389984,0.1810300350189209,0.06926509737968445,2.6610816803440684e-06,5.822938692290336e-05,14,Non-governmental organizations,Ms. Anne Barre,Utrecht,Netherlands,Constituency - Women and Gender
1079,Women Environmental Programme,2.2703434297000058e-05,5.577194315264933e-06,5.691802925866796e-06,0.0035725459456443787,4.339985389378853e-05,8.209801308112219e-06,0.043849773705005646,0.0002598915889393538,0.0004727170162368566,0.3670407235622406,0.032598547637462616,2.333681914024055e-05,0.0004894299781881273,0.34239837527275085,0.18101052939891815,0.028071966022253036,5.532072918867925e-06,0.00012104601773899049,10,Non-governmental organizations,Ms. Priscilla Mbarumun Achakpa,Abuja,Nigeria,Constituency - Women and Gender
1080,Women Organizing for Change in Agriculture and Natural Resource Management,2.2938371330383234e-05,5.634907211060636e-06,5.7507018027536105e-06,0.00042513033258728683,4.384895510156639e-05,8.294757208204828e-06,0.16223755478858948,0.006624520290642977,0.011895638890564442,0.10370907187461853,0.00012648712436202914,2.35783099924447e-05,0.0004840996698476374,0.02421487495303154,0.6724873781204224,0.01755734719336033,5.589319243881619e-06,0.00012229989806655794,15,Non-governmental organizations,Ms. Jeannette Gurung,Washington,United States of America,Constituency - Women and Gender
1081,Women’s Earth and Climate Caucus,5.6423300520691555e-06,1.3860621947969776e-06,1.4145450677460758e-06,0.04960227757692337,1.0785870472318493e-05,2.0403260805323953e-06,0.008044510148465633,6.529530219268054e-05,0.012546275742352009,0.2506858706474304,0.006553554441779852,5.799740847578505e-06,0.039546843618154526,0.4613848924636841,0.16477583348751068,0.006736109033226967,1.3748484661846305e-06,3.0083456294960342e-05,14,Non-governmental organizations,Ms. Osprey Orielle Lake,Mill Valley,United States of America,Constituency - Women and Gender
1082,Women’s Environment and Development Organization,4.17796618421562e-05,1.0263349395245314e-05,1.0474256669112947e-05,0.00578357232734561,7.986593845998868e-05,1.5107966646610294e-05,0.0002166280464734882,0.005994063802063465,0.0008601071895100176,0.14435479044914246,0.00023038024664856493,4.294523751013912e-05,0.5231345295906067,0.14436107873916626,0.17361921072006226,0.001012238790281117,1.018031525745755e-05,0.00022275287483353168,13,Non-governmental organizations,Ms. Bridget Burns,New York,United States of America,Constituency - Women and Gender
1083,Women’s International League for Peace and Freedom,0.00848317425698042,1.7832371668191627e-06,1.8198819589088089e-06,0.06803690642118454,1.387655265716603e-05,2.6249799702782184e-06,3.7638827052433044e-05,8.305334631586447e-05,0.017119385302066803,0.23666495084762573,0.06104131415486336,7.461652330675861e-06,0.32436251640319824,0.26203402876853943,0.0001544333208585158,0.021914562210440636,1.7688103071122896e-06,3.8704893086105585e-05,13,Non-governmental organizations,Ms. Line Favre,Geneva,Switzerland,Constituency - Environmental
1084,World Alliance of Young Men’s Christian Associations,3.4777774544636486e-06,8.543306648789439e-07,8.718867547941045e-07,0.13862816989421844,0.05733417719602585,1.2576010703924112e-06,1.8035869288723916e-05,3.9855207432992756e-05,0.28866079449653625,0.10545964539051056,0.014518722891807556,3.5748012123804074e-06,0.256660133600235,0.09801282733678818,0.03420119732618332,0.006437001749873161,8.474188462059828e-07,1.8542605175753124e-05,9,Non-governmental organizations,Mr. Razvan Sassu,Vernier,Switzerland,Constituency - Youth
1085,World Bioenergy Association,8.110027920338325e-06,1.9922624687751522e-06,2.0332026906544343e-06,0.00014419463695958257,1.5503117538173683e-05,2.932671804956044e-06,0.014850123785436153,0.44248294830322266,0.0001720043655950576,0.002015561331063509,0.0007395201246254146,8.336282917298377e-06,0.284800261259079,0.0018226688262075186,0.22477270662784576,0.02811587229371071,1.9761444036703324e-06,4.3242711399216205e-05,8,Non-governmental organizations,Mr. Bhardwaj Kummamuru Venkata,Stockholm,Sweden,Constituency - Business and Industry
1086,World Business Council for Sustainable Development,6.592368663405068e-06,1.6194430827454198e-06,1.6527219486306421e-06,0.001827404834330082,0.026439504697918892,2.3838699689804344e-06,0.004122183192521334,0.027979392558336258,0.00014580208517145365,0.019133547320961952,3.6349523725220934e-05,6.7762839535134844e-06,0.00014474328781943768,0.20934192836284637,0.5872595906257629,0.00017742547788657248,1.6063412431321922e-06,0.12337154150009155,15,Non-governmental organizations,Mr. Karl Vella,Geneva,Switzerland,Constituency - Business and Industry
1087,World Coal Association,4.327992792241275e-05,1.0631896657287143e-05,1.085037729353644e-05,0.011117038317024708,8.273385174106807e-05,1.5650479326723143e-05,0.00022442394401878119,0.25559747219085693,0.0008943655411712825,0.005151594057679176,0.00023867814161349088,4.448736217455007e-05,0.4845742881298065,0.016790060326457024,0.12910781800746918,0.09585529565811157,1.0545881195866968e-05,0.00023081188555806875,13,Non-governmental organizations,Mr. Liam McHugh,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry
