Official Name,City,Country,Constituency,Phone,Fax,Email,Coordinator
Plan International (Plan),London,United Kingdom of Great Britain and Northern Ireland,Constituency - ENGO,(44-14) 8375-5155,(44-14) 8375-6505,jessica.cooke@plan-international.org,Ms. Jessica Cooke
Planète Amazone,Courbevoie,France,Constituency - Indigenous peoples,,,info@planeteamazone.org,Mr. Gert Bruch
Planéte Urgence (PU),Paris,France,Constituency - Environmental,+33 1 58 30 51 10,(33-1) 4347-5440,contact@planete-urgence.org,Mr. Valentin Hervouet
Plant for the Planet Foundation (Plant for the Planet),Tutzing,Germany,Constituency - Environmental,0049 8808 9345,,helge.bork@plant-for-the-planet.org,Ms. Helge Maren Bork
Plate-Forme pour le Commerce Équitable (PFCE),Nogent-sur-Marne,France,Constituency - Environmental,+33 1 43 94 73 30,,plate-forme@commercequitable.org,Ms. Florence Sonntag
Plateforme Océan et Climat (POC),Paris,France,Constituency - Environmental,+33 (0)1 44 32 10 70,,secretariat@ocean-climate.org,Ms. Loreley Picourt
Plymouth Marine Laboratory (PML),Plymouth,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-17) 5263-3100,(44-17) 5263-3101,forinfo@pml.ac.uk,Ms. Thecla Keizer
Point Blue Conservation Science (Point Blue),Petaluma,United States of America,Constituency - Environmental,+1-707-781-2555,+1-707-768-1685,moliva@pointblue.org,Mr. Manuel Oliva
Polar Bears International (PBI),Bozeman,United States of America,Constituency - Environmental,,,gyork@pbears.org,Mr. Geoff York
Polish Ecological Club (PEC),Kraków,Poland,Constituency - Environmental CJN,(48-12) 423-2047,(48-12) 423-2047,biuro@zgpke.most.org,Ms. Urszula Stefanowicz
Polish Economic Chamber of Renewable Energy (PIGEO),Warsaw,Poland,Constituency - Business and Industry,(48-22) 548-4999,(48-22) 548-4998,agnieszka.krawczyk@pigeo.org.pl,Ms. Agnieszka Ewa Krawczyk
Polish Wind Energy Association (PSEW/PWEA),Szczecin,Poland,Constituency - Business and Industry,(48-91) 486-2530,(48-91) 486-2538,biuro@psew.pl,Ms. Agnieszka Skowron Rodriguez
Pollution Probe,Toronto,Canada,Constituency - Environmental,(1-416) 926-1907,(1-416) 926-1601,pprobe@pollutionprobe.org,Ms. Mary Pattenden
Pomona College,Claremont,United States of America,Constituency - Research and independent,(1-909) 621-8131,(1-909) 621-8499,rworthington@pomona.edu,Mr. Richard Worthington
Pompeu Fabra University (UPF),Barcelona,Spain,Constituency - Research and independent,,,jaume.alberti@esci.upf.edu,Mr. Jaume Albertí
Population Action International (PAI),Washington,United States of America,Constituency - Environmental,(1-202) 557-3400,,edunn-georgiou@popact.org,Ms. Elisha Dunn-Georgiou
Portland Cement Association (PCA),Washington DC,United States of America,Constituency - Business and Industry,(1-202)408-9494,(1-202)408-0877,aohare@cement.org,Mr. Andrew O'Hare
Potsdam Institute for Climate Impact Research (PIK),Potsdam,Germany,Constituency - Research and independent,(49-331) 288-2500,(49-331) 288-2600,annika.guenther@pik-potsdam.de,Ms. Annika Günther
Practical Action,Rugby,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental CAN,(44-1926) 63-4400,(44-1926) 63-4401,practicalaction@practicalaction.org.uk,Mr. Colin Ian McQuistan
Prakriti Resources Centre (PRC),Kathmandu,Nepal,Constituency - Environmental,+977-01-4428602,,raju@climatenetwork.org,Mr. Raju Pandit Chhetri
Presbyterian Church (U.S.A.),Louisville,United States of America,Constituency - Environmental CAN,(1-888) 728-7228,,Rebecca.Barnes@pcusa.org,Ms. Rebecca Jane Barnes
PRI Association (PRI),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,+442037143220,,info@unpri.org,Mr. Jack Balsdon
Primaklima e.V.,Bergisch Gladbach,Germany,Constituency - Environmental,(49-220) 450 89400,(49-220) 450 89409,info@primaklima.org,Mr. Lars Forjahn
Prince's Foundation for the Built Environment (PFBE),London,United Kingdom of Great Britain and Northern Ireland,Constituency - ENGO,(44-207)613-8500,(44-207)613-8599,joey.tabone@princes-foundation.org,Mr. Joseph Tabone
Princeton University,Princeton,United States of America,Constituency - Research and independent,(1-609)258-3000,(1-609)258-6100,ccrosby@princeton.edu,Mr. Charles Crosby
Pro-Natura International (PNI),Paris,France,Constituency - Environmental,(33-1)5359-9798,(33-1)5359-9446,pro-natura@wanadoo.fr,Mr. Guy Reinaud
Pro-Natura USA (PNUSA),New York,United States of America,Constituency - Environmental,(1-212)925-8106/8107,(1-212)226-1625,mcollins004@san.rr.com,Mr. Mark Chapman
ProAct Network,Nyon,Switzerland,Constituency - Environmental,(41-22) 362-5384,(41-22) 362-5385,david.stone@proactnetwork.org,Mr. David Stone
ProClim - Forum for Climate and Global Change,Bern,Switzerland,Constituency - Research and independent,(41-31)328-2323,(41-31)328-2320,proclim@scnat.ch,Ms. Karin Ammon
"Programme for the Endorsement of Forest Certification Schemes, PEFC Council (PEFC)",Geneva,Switzerland,Constituency - Environmental,(41-22) 799-4540,(41-22) 799-4550,info@pefc.org,Mr. Thorsten Arndt
Programme national de prévention de lutte et d'assistance humanitaire aux victimes des catastrophes naturelles (PRONAPLUCAN),Kinshasa,Democratic Republic of the Congo,Constituency - Environmental,(243-99)3-0569,(1-775)261-7963,PRONAPLUCA@hotmail.com,Mr. Philemona Mangala Ibabinga
Programme Solidarité Eau (pS-Eau),Paris,France,Constituency - ENGO,+33 (0)153349120,,info@pseau.org,Mr. Christophe Le Jallé
Project 90 by 2030 (Project 90 by 2030),Cape Town,South Africa,Constituency - Environmental CAN,(27 21) 6745 094,(27 86) 743 7792,info@90x2030.org.za,Ms. Olivia Andrews
Project Developer Forum Ltd. (PD-Forum),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,+49 89 2351 93200,,sven.kolmetz@climatebridge.com,Mr. Sven Gunther Kolmetz
"Promote Africa, Inc.",Athens,United States of America,Constituency - Business and Industry,(1-706) 513-3549,,davegupta@mail.promoteafrica.org,Ms. Muktha Natrajan
Promotion of Operational Links with Integrated Services aisbl (POLIS),Brussels,Belgium,Constituency - Local government and Municipal authorities,+3225005670,,polis@polisnetwork.eu,Mr. Michel Arnd
Pronatura Mexico,Mexico,Mexico,Constituency - Environmental,(52-55) 5635-5054,(52-55) 5635-5054 ext. 113,pronatura@pronatura.org.mx,Sra. Leticia Espinosa Marván
"Pronatura Sur, A. C.",San Cristobal De Las Casas,Mexico,Constituency - Environmental,+529671158500,+52967678500 ext. 100,direccion@pronatura-sur.org,Mr. Jose Antonio Montero Solano
Prospekt Mira,Salt Lake City,United States of America,Constituency - Research and independent,+18018556472,,info@prospektmira.org,Ms. Andrea Egan
Protection de l'environnement (PROTENVIRO),Muanda,Democratic Republic of the Congo,Constituency - Environmental,(243) 8123 74439,,protenviro.ong@gmail.com,Mr. Tati Mulatu
ProVeg Deutschland e.V.,Berlin,Germany,Constituency - Environmental,,,raphael.podselver@proveg.com,Mr. Raphael Podselver
Public Health Institute (PHI),Oakland,United States of America,Constituency - Local government and Municipal authorities,01-510-285-5500,,linda.rudolph@phi.org,Ms. Linda Rudolph
Purdue University - Purdue Climate Change Research Center (PCCRC)Ms. Rose ,West Lafayette,United States of America,Constituency - Research and independent,(1-765)494 5146,(1-765)496 9322,pccrc@purdue.edu,M. Filley
Purves Environmental Fund,Sydney,Australia,Constituency - Environmental,(61-2) 9241-2899,,enviroofficer@purvesenvirofund.org.au,Ms. Erika Hosoyama
Pusan National University - Marine Research Institute (PNU/MRI),Busan Metro City,Republic of Korea,Constituency - Research and independent,(82-51) 510-1101,(82-51) 581-0652,president@pusan.ac.kr,Mr. Ik Kyo Chung
PUSH Sweden,Stockholm,Sweden,Constituency - Environmental,,,internationell@pushsverige.se,Mr. Adam Leckius
Quaker Earthcare Witness (QEW),Albany,United States of America,Constituency - Environmental,(1-510) 542 9606,,info@quakerearthcare.org,Ms. Shelley Tanenbaum
R20 - Regions of Climate Action (R20),Geneva,Switzerland,Constituency - Environmental,+41 22 755 6545,+41 22 755 6549,secretariat@regions20.org,Mr. Christophe Nuttall
Railway Association of Canada,Ottawa,Canada,Constituency - Business and Industry,(1-613)567-8591,(1-613)567-6726,rac@railcan.ca,Mr. Nicholas George Vincent
Railway Technical Research Institute (RTRI),Tokyo,Japan,Constituency - ENGO,(81-42)573-7210,(81-42)573-7488,mifune@rtri.or.jp,Mr. Naoto Mifune
Rain Drop,Grasse,France,Constituency - Environmental,,,info@rain-drop.org,M. Alexis Roman
Rainforest Action Network (RAN),San Francisco,United States of America,Constituency - Environmental CJN,(1-415)398-4404,(1-415)398-2732,rainforest@ran.org,Mr. Patrick McCully
Rainforest Alliance (RA),New York,United States of America,Constituency - Environmental,(1-212)677-1900,(1-212)677-2187,canopy@ra.org,Mr. Martin Noponen
Rainforest Concern,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-20) 7229-2093,(44-20) 7221-4094,peter@rainforestconcern.org,Mr. Peter Bennett
Rainforest Foundation Norway (RFN),Oslo,Norway,Constituency - Environmental CAN,(47) 2310-9500,(47) 2310-9501,rainforest@rainforest.no,Ms. Monica Camacho Mejia
Rainforest Foundation UK (RFUK),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-207) 485-0193,(44-207) 485-0315,info@rainforestuk.org,Mr. Joseph Eisen
Rainforest Nations Conservation Alliance (RNCA),New York,United States of America,Constituency - Environmental,,,pchung.cfrn@gmail.com,Mr. Paul Chung
Rainforest Partnership,Austin,United States of America,Constituency - Environmental,(1-512) 420-0101,,info@rainforestpartnership.org,Ms. Niyanta Spelman
RainForest ReGeneration Institute (RFRG),Washington,United States of America,Constituency - ENGO,(1-202) 483-5175,(1-202) 483-5175,robert.randall@usitc.gov,Mr. Robert Randall
Rainforestmaker (RFM),Boston,United States of America,Constituency - Environmental,(1-617)367-2313,(1-617)722-9999,info@rainforestmaker.org,Mr. Jeffrey S. Glassman
RAND,Santa Monica,United States of America,Constituency - ENGO,(1-310)393-0411,(1-310)451-6973,francois.roudie@ec.europa.eu,Mr. Richard Wright
Rare,Arlington,United States of America,Constituency - Environmental,+1 703 522 5070,+1 703 522 5027,info@rare.org,Ms. Arlane Marietta Steins - Meier
READI-ENVIRONNEMENT (READI),Lome,Togo,Constituency - Environmental,(228) 21-2503 / 22-8197,(228) 21-0287,readienviron@yahoo.fr,Mr. Kokou-Essem Tomekpe
Real Instituto Elcano (RIE),Madrid (28006),Spain,Constituency - Research and independent,+34917816770,+34914262157,llazaro@rielcano.org,Sra. Lara Esther Lázaro Touza
Red Ambiental Peruana (RAP),Lima,Peru,Constituency - ENGO,(51 1) 6200906,(51 1) 6200906,rap_amauta@yahoo.com,Ms. Alexandra Cugler
Red Observadores Meteorológicos Ambientales Escolares del Perú (ROME - PERU),Lima,Peru,Constituency - Environmental,51 01 4593782,,romeinfo@gmail.com,Mr. Manuel Chirhuana Sarmiento
Redefining Progress,Oakland,United States of America,Constituency - Environmental,(1-510)444-3041,(1-510)444-3191,info@progress.org,Ms. Nia Martin-Robinson
Reevaluation Foundation,Seattle,United States of America,Constituency - Environmental,2062840311,2062848429,ircc@rc.org,Ms. Diane Shisk
Reforestamos Mexico (RM),Mexico City,Mexico,Constituency - Environmental,(52-55) 5514-8670,(52-55) 5514-8670,raquel@reforestamos.org,Ms. Raquel Jimenez Acosta
"Refrigerants, Naturally e.V. (REFNAT)",Königstein,Germany,Constituency - Business and Industry,(49-6174) 96-947 0,,julia.both@refrigerantsnaturally.org,Mr. Dietram Oppelt
Refugees International,Washington,United States of America,Constituency - Research and independent,(1) 202-828-0110,,kayly@refintl.org,Ms. Kayly Jennifer Ober
Regeneration International (RI),Finland,United States of America,Constituency - Environmental,,,info@regenerationinternational.org,Ms. Ercilia Sahores
Regional Environmental Centre for Central Asia (CAREC),Almaty,Kazakhstan,Constituency - Environmental,(7727) 265 4333,,info@carececo.org,Ms. Irina Bekmirzaeva
"Regional Institute of Health, Medicine and Research (RIHMR)",Jaipur,India,Constituency - Research and independent,+911412283738,,rihmr.org@gmail.com,Mr. Vijay Sharma
Regions4 for Sustainable Development (Regions4),Brussels,Belgium,Constituency - Local government and Municipal authorities,+3226401208,+3226467785,info@regions4.org,Ms. Heloise Chicou
Regroupement national des conseils régionaux de l'environnement du Québec (RNCREQ),Montréal,Canada,Constituency - Environmental,(1-514)861-7022,(1-514)861-8949,p.bourke@rncreq.org,M. Philippe Bourke
Remote Sensing Technology Center of Japan (RESTEC),Tokyo,Japan,Constituency - Research and independent,+81 3 6435 6700,+81 3 5777 1580,wbmaster@restec.or.jp,Mr. Masatoshi Kamei
Renaissance Samaj Kallayn Sangstha,Khulna,Bangladesh,Constituency - ENGO,(88-41)7-7506-5105,(88-41)73-0059,rsks_bd@yahoo.com,
Renewable Energy and Energy Efficiency Partnership (REEEP),Vienna,Austria,Constituency - Environmental,(43-12) 6026-3425,(43-12) 1346-3425,eszter.winkler@reeep.org,Ms. Eszter Winkler
Renewable Energy Institute,Tokyo,Japan,Constituency - Research and independent,+81-3-6895-1020,+81-3-6895-1021,info@renewable-ei.org,Ms. Mika Ohbayashi
Renewable Energy Policy Network (REN21),Paris,France,Constituency - Environmental,(33) 1 44 37 50 91,,secretariat@ren21.net,Ms. Laura Williamson
Renewables Grid Initiative e.V. (RGI),Berlin,Germany,Constituency - Environmental,49 30 7677 194 50,,antonella.battaglini@pik-potsdam.de,Ms. Antonella Battaglini
Renmin University of China (RUC),Beijing,China,Constituency - Research and independent,(86-10) 6251-1301,(86-10) 6251-1301,zouji61@126.com,Mr. Ji Zou
RES Foundation,Belgrade,Serbia,Constituency - Environmental,,,office@resfoundation.org,Mr. Aleksandar Macura
REScoop.eu vzw,Brussels,Belgium,Constituency - Business and Industry,+32 3 294 16 65,,sara.tachelet@rescoop.eu,Ms. Sara Tachelet
"Research and Development Centre, Nepal (RDC Nepal)",Kathmandu,Nepal,Constituency - Research and independent,+977 14301492,+977 14278671,rdc@rdcnepal.org.np,Mr. Ramdhyan Prasad Yadav
Research and Innovation Centre Pro-Akademia (RIC),Konstantynow Lodzki,Poland,Constituency - Research and independent,+48426361226,+48426361259,katarzyna.korczak@proakademia.eu,Ms. Katarzyna Korczak
Research Center for Eco-Environmental Sciences in Shanxi (SXRCEE),Taiyuan,China,Constituency - Environmental,(86-351)6285926,(86-351)6285926,stzxdt@163.com,Mr. Xudong Su
Research Centre for Sustainable Development (RCSD),Beijing,China,Constituency - Environmental,(86-10) 59868168,(86-10) 59868168,jiahuapan@163.com,Ms. Xiang Yu
Research Centre Juelich (Jülich),Jülich,Germany,Constituency - Research and independent,(49-2461) 610,(49-2461) 61-8100,info@fz-juelich.de,Mr. Günter Lincks
Research Institute of Innovative Technology for the Earth (RITE),Kyoto,Japan,Constituency - Research and independent,,,kanaboshi@rite.or.jp,Mr. Haruo Kanaboshi
Research Institute of Organic Agriculture (FiBL),Frick,Switzerland,Constituency - Research and independent,(41-62) 865-7272,(41-62) 865-7272,urs.niggli@fibl.org,Mr. Urs Niggli
Research Triangle Institute (RTI),Research Triangle Park,United States of America,Constituency - Environmental,+1-919-541-6000,,listen@rti.org,Mr. Robert Beach
"Réseau ""sortir du nucléaire""",Lyon,France,Constituency - Environmental CAN,(33-4) 7828-2922,(33-4) 7207-7004,charlotte.mijeon@sortirdunucleaire.fr,Ms. Charlotte Mijeon
Réseau Action Climat - France (RAC-F),Montreuil,France,Constituency - Environmental CAN,(33-1) 4858-8392,(33-1) 4851-9512,info@rac-f.org,Ms. Aurore Mathieu
Réseau Alternatif des Jeunes-Tunisie (RAJ-Tunisie),Tunis,Tunisia,Constituency - Youth,+21670034361,+21671253547,contact@raj-tunisie.org,Ms. Khouloud Tlili
Réseau Communautaire pour le Pauvre (RCP),Kinshasa,Democratic Republic of the Congo,Constituency - Environmental,+243990550210,+243811835716,rcpnetwork@gmail.com,Mr. Feli Esau Ubebu
Réseau des Aires Protégées d'Afrique Centrale (RAPAC),Libreville,Gabon,Constituency - Environmental,(24) 101443322,,omer.ntougou@gmail.com,M. Omer Ntougou Ndoutoume
Réseau des Organisations Paysannes et des Producteurs Agricoles de l'Afrique de l'Ouest (ROPPA),Ouagadougou,Burkina Faso,Constituency - Farmers,(226) 25 37 60 07,(226) 25 37 60 43,roppa2000@yahoo.fr,Mr. Djibo Bagna
Réseau Environnement,Montréal,Canada,Constituency - Business and Industry,(1-514) 270-7110,(514) 874-1272,info@reseau-environnement.com,Ms. Marie-Claire Dumont
Réseau Français des Etudiants pour le Développement Durable (REFEDD),Paris,France,Constituency - Youth,+33 678 978279,,bureau@refedd.org,Mr. Lucas Paoli
Reseau international d'information de communication et d'action pour le developpement des femmes et des enfants défavorisés (RICAFEDE),Creteil,France,Constituency - Environmental,(33-1) 7956-6464,,aricafede@yahoo.fr,Ms. Gertrude Marie Likeng-oloa
Resource Africa (RAUK),Cambridge,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-1223) 57-1000,,resourceafricauk@gmail.com,Ms. Astrid Westerlind Wigström
Resource Innovation Group (TRIG),Eugene,United States of America,Constituency - Environmental CAN,(1-541) 744-7072,,bdoppelt@uoregon.edu,Mr. Robert Errol Doppelt
Resource Renewal Institute (RRI),San Francisco,United States of America,Constituency - ENGO,(1-415)928-3774,(1-415)928-6526,info@rri.org,Ms. Danielle Kraaijvanger
Resources for the Future (RFF),Washington,United States of America,Constituency - ENGO,(1-202)328-5000,(1-202)939-3460,infc@rff.org,Ms. Kristin Hayes
Responding to Climate Change (RTCC),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,(44-20) 7799-2222,(44-20) 7340-2868,ns@rtcc.org,Ms. Nicole Serrij
RESPONSE Charitable Trust,Wellington,New Zealand,Constituency - Research and independent,+6421388337,21388337,betsan@response.org.nz,Ms. Betsan Martin
Results Education,London,United Kingdom of Great Britain and Northern Ireland,Constituency - ENGO,00442077933970,,rosemary.forest@results.org.uk,Ms. Rosemary Forest
"Reusa Misión Planeta, A.C.",Iztapalapa,Mexico,Constituency - Environmental,01525556931732,,iselaindira@gmail.com,Mme Isela Indira Salas Juárez
Rheinisch-Westfälisches Institut für Wirtschaftsforschung e.V. (RWI),Essen,Germany,Constituency - Research and independent,(49-201)8-1490,(49-201)814-9200,rwi@rwi-essen.de,Mr. Ronald Janssen-Timmen
Rheinische Friedrich-Wilhelms-Universität Bonn,Bonn,Germany,Constituency - Research and independent,(49-228) 73-1966,(49-228) 73-1982,s.gilgan@uni-bonn.de,Ms. Sandra Gilgan
Rhodes University (RU),Grahamstown,South Africa,Constituency - Research and independent,(27-46) 603-8101,(27-46) 603-8127,rc@ru.ac.za,Mr. Peter Graham Clayton
Rideau Institute on International Affairs,Ottawa,Canada,Constituency - Research and independent,(1-613) 565-9449,(1-613) 249-7091,operations@rideauinstitute.ca,Mr. Christopher Holcroft
"Rights and Resources Institute, Inc. (RRI)",Washington,United States of America,Constituency - Environmental,(1-202) 470-3900,(1-202) 944-3315,info@rightsandresources.org,Mr. Joseph Bono
Rio de Janeiro Environmental Exchange (BVRio),Rio de Janeiro,Brazil,Constituency - Environmental,(55) 21 35964006,,info@bvrio.org,Ms. Roberta Rubim Del Giudice
Rock Environment and Energy Institute (REEI),Beijing,China,Constituency - Research and independent,86-61438032,,info@reei.org.cn,Mr. Jiaqiao Lin
"Rockefeller Brothers Fund, Inc. (RBF)",New York,United States of America,Constituency - Environmental,(1-212) 812-4200,(1-212) 812-4299,tkruse@rbf.org,Mr. Thomas Kruse
"Rockefeller Philanthropy Advisors, Inc. (Climate Nexus)",New York,United States of America,Constituency - Research and independent,2128124330,2128124335,info@climatenexus.org,Ms. Rachel Mary Potter
Rocky Mountain Institute (RMI),Boulder,United States of America,Constituency - Environmental,(1-303) 567 8593,,kwight@rmi.org,Ms. Denali Rose Hussin
Rosa-Luxemburg-Stiftung - Gesellschaftsanalye und politische Bildung e.V. (RLS),Berlin,Germany,Constituency - Research and independent,+49 30 44310 523,+49 30 44310 181,bender@rosalux.de,Mr. Till Bender
Rotary International (RI),"Evanston, IL",United States of America,Constituency - Environmental,(1-847)866-3000,(1-847)328-8554,christine.sanders@rotary.org,Ms. Christine Sanders
Round Table on Responsible Soy Association (RTRS),Zürich,Switzerland,Constituency - Business and Industry,(54-11) 4519-8005,(54-11) 4519-8005,info@responsiblesoy.org,Mr. Daniel Kazimierski
Roundtable on Sustainable Palm Oil (RSPO),Kuala Lumpur,Malaysia,Constituency - ENGO,,,darrel@rspo.org,Mr. Darrel Webber
Royal College of Physicians of London (RCP),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,02030751728,,policy@rcplondon.ac.uk,Mr. Rory Murray
Royal Institute of Technology (KTH),Stockholm,Sweden,Constituency - Research and independent,(46-8) 790-7001,(46-8) 24-5435,semida.silveira@energy.kth.se,Mme Semida Silveira
Royal Melbourne Institute of Technology (RMIT),Melbourne,Australia,Constituency - Research and independent,(61-3) 9925-2000,,ralph.horne@rmit.edu.au,Mr. Ralph Horne
Royal Meteorological Society (RMetS),Reading,United Kingdom of Great Britain and Northern Ireland,Constituency - ENGO,01189568500,,chief.exec@rmets.org,Ms. Liz Bentley
Royal Society for Protection of Nature (RSPN),Thimphu,Bhutan,Constituency - Environmental CAN,(975) 232-2056,(975) 232-3189,dtshering@rspnbhutan.org,Mr. Dago Tshering
Royal Society for the Conservation of Nature (RSCN),Jordan,Jordan,Constituency - Environmental CAN,+ 962 6 5337931,+ 962 6 5357618,hussam.alawadat@rscn.org.jo,Mr. Hussam Odeh Alawaidat
Royal Society of Wildlife Trusts (RSWT),Newark,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,,,garym@wildlifetrusts.org,Mr. Gary Jonathan Mantle
Rural Agency for Social and Technological Advancement (RASTA),Kalpetta,India,Constituency - Women and Gender,(91-4936) 28-6725,(91-4936) 28-4197,contact@rastaindia.org,Mr. Omana Thakkara Kuttan
Rural Development Institute,Seattle,United States of America,Constituency - Research and independent,(1-206) 257 6039,(1-206) 528 5881,ashleighf@landesa.org,Ms. Ashleigh Nicole Flowers
Rural Reconstruction Nepal (RRN),Katmandu,Nepal,Constituency - Local government and Municipal authorities,(977-1) 400-4976,(977-1) 400-4508,rrn@rrn.org.np,Mr. Gyan Bahadur Adhikari
Rural Uplift Centre (RUC),Nagercoil,India,Constituency - Environmental,+914652231110,00 91 4652 231110,majames22@yahoo.com,Mr. Maria James
Rural Women Energy Security Ltd/Gte (RUWES),Abuja,Nigeria,Constituency - Women and Gender,(234) 803 600 3580,,info@ruwes.org.ng,Ms. Nafisah Abubakar
"Rutgers, The State University of New Jersey (Rutgers)",New Brunswick,United States of America,Constituency - Research and independent,(1-848) 932-3093,(1-732) 932-1979,rick.lee@global.rutgers.edu,Mr. Rick H. Lee
Ryerson University,Toronto,Canada,Constituency - Environmental,(1-416) 979-5000,,lzimanyi@ryerson.ca,Ms. Louise Zimanyi
Saami Council Headquarters,Karasjok,Norway,Constituency - Indigenous peoples,+4795025926,,saamicouncil@saamicouncil.net,Ms. Aile Javo
Sabanci University (SU),Istanbul,Turkey,Constituency - Environmental,00902164839000,00902164839005,ipc@sabanciuniv.edu,Mr. Umit Sahin
Sadhana Forest Kenya,Nairobi,Kenya,Constituency - Environmental,+254704976908,,kenya@sadhanaforest.org,Mr. Aviram Rozin
Sahkar Social Welfare Association (SSWA),Larkana,Pakistan,Constituency - Women and Gender,+92744053432,+92744040003,sahkarlarkana@gmail.com,Mr. Riaz Hussain Chandio
Saint Francis Xavier University (StFX),Antigonish,Canada,Constituency - Research and independent,902-867-4000,,mmurphy@stfx.ca,Ms. Maica Murphy
Saint John's University,Collegeville,United States of America,Constituency - Research and independent,(1 320) 363 2011,,copsju@csbsju.edu,Ms. Jean Lavigne
Salve Regina University,Newport RI,United States of America,Constituency - Research and independent,(1-401) 847-6650,(1-401) 847-4150,t.LadriganWhelpley@salve.edu,Ms. Theresa Ladrigan-Whelpley
Samata,Vishakhapatnam,India,Constituency - Environmental,(91-891)551-0255,(91-405)568-7051,samatha@satyam.net.in,Mr. Rebbapragada Ravi
San Francisco Carbon Collaborative (SFCC),San Francisco,United States of America,Constituency - Research and independent,(1-415) 362-3000,(1-415) 318-3901,info@carboncollaborative.org,Ms. Tiffany Potter
Sasakawa Peace Foundation (OPRI-SPF),Tokyo,Japan,Constituency - Environmental,(81-3)-5157-5210,(81-3) 5157-5230,oceanpolicy@spf.or.jp,Ms. Miko Maekawa
Sauvons Le Climat (SLC),Paris,France,Constituency - Environmental,,,secretaire@sauvonsleclimat.org,Mr. Stephan Savarese
Save the Children International,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Youth,(44-203)272-0300,(44-203)272-0301,info@savethechildren.org,Mr. Christophe Belperron
Saving Our Planet (SOP),Paris,France,Constituency - Environmental,+33678858597,,StephanS@SavingOurPlanet.net,Mr. Stephan Savarese
School of Environmental Studies Education Foundation (SES),Apple Valley,United States of America,Constituency - Environmental,(1-952) 431-8750,(1-952) 431-8755,craig.johnson@district196.org,Mr. Craig Johnson
Science and Environmental Policy Project (SEPP),Arlington,United States of America,Constituency - Research and independent,(1-703) 920-2744,(1-408) 715-5657,info@sepp.org,Mr. Fred Singer
Science Museum of Minnesota,Saint Paul,United States of America,Constituency - Research and independent,6512219444,6512214514,phamilton@smm.org,Mr. Patrick Hamilton
Scientific and Research Center Ecosphere (SRC Ecosphere),Mariupol,Ukraine,Constituency - Research and independent,(38-050) 470-8598,,ecosfera96@mail.ru,Mr. Sergey Nikolayevich Sergeyev
Scientific Committee on Antarctic Research (SCAR),Cambridge,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-1223) 33-6550,(44-1223) 33-6549,info@scar.org,Ms. Pathikonda Chandrika Nath
Scientific Committee on Problems of the Environment (SCOPE),Paris,France,Constituency - Research and independent,(33-1) 4525-0498,(33-1) 4288-1466,vpf@icsu-scope.org,Mme Véronique Plocq-Fichelet
Scientists for Global Responsibility (SGR),Folkestone,United Kingdom of Great Britain and Northern Ireland,Constituency - ENGO,(44-7771)88-3696,,matthews@climate.be,Mr. Benjamin Matthews
Scottish Academic Network on Global Environment Change (SANGEC),Glasgow,United Kingdom of Great Britain and Northern Ireland,Constituency - ENGO,(44-141)339-8855 ext. 4545,(44-141)330-4808,m.hersh@elec.gla.ac.uk,
"SDSN Association, Inc. (SDSN)",New York,United States of America,Constituency - Research and independent,12128702776,,info@unsdsn.org,Ms. Elena Crete
Seas at Risk (SAR),Brussels,Belgium,Constituency - Environmental,(32-2) 893-0965,(32-2) 893-0966,secretariat@seas-at-risk.org,Mr. John Maggs
SeaTrust Institute,Olympia,United States of America,Constituency - Research and independent,(1-360) 961-3363,(1-516) 977-5245,lwilson@nasw.org,Ms. Lynn Wilson
Seawater Foundation (TSF),Tucson,United States of America,Constituency - Research and independent,(1-520) 327-8907,(1-520) 327-8907,beth@seawaterfoundation.org,Ms. Elizabeth Swilling Hodges
Secours islamique France (SIF),MASSY,France,Constituency - ENGO,,,lahlou@secours-islamique.org,Mr. Rachid Lahlou
Sedex Information Exchange Limited (Sedex),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,+44 (0)20 7902 2320,,helpdesk@sedexglobal.com,Mr. James Persad
Senegal Ecovillage Microfinace Fund (SEM FUND),Dakar,Senegal,Constituency - Environmental,(221) 820-5484,(221) 820-6549,sem-fund@sem-fund.org,Mr. Matteo Bigoni
Sentinel Advocacy,Berkeley,United States of America,Constituency - Environmental,,,drowningislands@gmail.com,Ms. Brook Meakins
Seoul International Law Academy (SILA),Seoul,Republic of Korea,Constituency - Research and independent,+82-2-735-2777,+82-2-723-5616,sajik@chol.com,Mr. Suh Yong Chung
