,name,entity_type,TotalMembers,MaleMembers,FemaleMembers,constituency,coordinator,city,country,const
559,International Forum on Globalization Inc.,Non-governmental organizations,3,1,2,Constituency - Environmental CJN,Mr. Victor Menotti,San Francisco,United States of America,ENGO
560,International Foundation for African Children,Non-governmental organizations,5,4,1,Constituency - Youth,Mr. Michael Ikechukwu Nwafejoku,Lagos,Nigeria,Youth
561,International Gas Union,Non-governmental organizations,5,4,1,Constituency - Business and Industry,Mr. Luis Calvo,Barcelona,Spain,BINGO
562,International Hydropower Association,Non-governmental organizations,5,3,2,Constituency - Business and Industry,Mr. Richard M. Taylor,London,United Kingdom of Great Britain and Northern Ireland,BINGO
563,International Indian Treaty Council,Non-governmental organizations,5,2,3,Constituency - Indigenous peoples,Mr. Alberto Saldamando,San Francisco,United States of America,IPO
564,International Institute for Applied Systems Analysis,Non-governmental organizations,7,5,2,Constituency - Research and independent,Mr. Iain Stewart,Laxenburg,Austria,RINGO
565,International Institute for Environment and Development,Non-governmental organizations,7,3,4,Constituency - Research and independent,Ms. Marika Hannah Weinhardt,London,United Kingdom of Great Britain and Northern Ireland,RINGO
566,International Institute for Sustainable Development,Non-governmental organizations,11,4,7,Constituency - Research and independent,Mr. Cameron Stuart Hunter,Winnipeg,Canada,RINGO
567,International National Trusts Organisation,Non-governmental organizations,7,3,4,Constituency - Environmental,Ms. Catherine Leonard,London,United Kingdom of Great Britain and Northern Ireland,ENGO
568,International Network for Sustainable Energy,Non-governmental organizations,5,3,2,Constituency - Environmental,Mr. Gunnar Boye Olesen,Hjortshoj,Denmark,ENGO
569,International Network of Basin Organizations,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Edouard Boinet,Paris,France,ENGO
570,International Network of Women Engineers and Scientists,Non-governmental organizations,6,0,6,Constituency - Women and Gender,Ms. Amelia Trachsel,Ottawa ON K1S 5B6,Canada,Women and Gender
571,International Organization for Standardization,Non-governmental organizations,4,3,1,Constituency - Business and Industry,Mr. José Ignacio Alcorta,Vernier,Switzerland,BINGO
572,International Organization of Employers,Non-governmental organizations,2,2,0,Constituency - Business and Industry,Mr. Pierre Vincensini,Geneva,Switzerland,BINGO
573,International Peatland Society,Non-governmental organizations,1,1,0,Constituency - Environmental,Ms. Susann Warnecke,Jyväskylä,Finland,ENGO
574,International Policy Network,Non-governmental organizations,2,1,1,Constituency - Environmental,Ms. Kendra Okonski,London,United Kingdom of Great Britain and Northern Ireland,ENGO
575,International Society for Ecological Economics,Non-governmental organizations,5,5,0,Constituency - Environmental,Ms. Heidi Brault,Boston,United States of America,ENGO
576,International Society of Biometeorology,Non-governmental organizations,1,1,0,Constituency - Environmental,Sr. Pablo Fernandez de Arroyabe,Santander,Spain,ENGO
577,International Solar Energy Society e.V.,Non-governmental organizations,2,2,0,Constituency - Environmental,Ms. Jennifer McIntosh,Freiburg,Germany,ENGO
578,International Trade Union Confederation,Non-governmental organizations,134,88,46,Constituency - Trade Unions,Mr. Bert De Wel,Brussels,Belgium,TUNGO
579,International Union of Architects,Non-governmental organizations,3,1,2,Constituency - Trade Unions,Ms. Sonia Cela,Paris,France,TUNGO
580,International Union of Forest Research Organizations,Non-governmental organizations,2,1,1,Constituency - Research and independent,Mr. Alexander Buck,Vienna,Austria,RINGO
581,International Union of Railways,Non-governmental organizations,3,2,1,Constituency - Business and Industry,Mr. Vincent VU,Paris,France,BINGO
582,International Work Group for Indigenous Affairs,Non-governmental organizations,5,1,4,Constituency - Environmental,Mr. Stefan Thorsell,Copenhagen,Denmark,ENGO
583,International Youth and Student Movement for the United Nations,Non-governmental organizations,12,4,8,Constituency - Environmental,Mr. Oluwole David Oshota,Geneva,Switzerland,ENGO
584,International- Lawyers.Org,Non-governmental organizations,4,1,3,,Ms. Lama Jbarah,Geneva,Switzerland,not yet affiliated/no data
585,Inuit Circumpolar Conference,Non-governmental organizations,6,2,4,Constituency - Indigenous peoples,Ms. Joanna MacDonald,Ottawa,Canada,IPO
586,IPIECA Limited (IPIECA),Non-governmental organizations,7,5,2,Constituency - Business and Industry,Mr. James Arthur Herbertson,London,United Kingdom of Great Britain and Northern Ireland,BINGO
587,Islamic Relief Worldwide,Non-governmental organizations,4,3,1,Constituency - Research and independent,Mme Shahin Ashraf,Birmingham,United Kingdom of Great Britain and Northern Ireland,RINGO
588,"Islands First, Inc.",Non-governmental organizations,6,1,5,Constituency - Environmental,Mr. Mark Jariabka,New York,United States of America,ENGO
589,Israel Union for Environmental Defense,Non-governmental organizations,2,0,2,Constituency - Environmental,Ms. Leehee Goldenberg,Tel Aviv,Israel,ENGO
590,Italian Climate Network,Non-governmental organizations,12,3,9,Constituency - Youth,Mr. Jacopo Bencini,Milan,Italy,Youth
591,Ithaca College,Non-governmental organizations,5,0,5,Constituency - Research and independent,Mr. Thomas Shevory,Ithaca,United States of America,RINGO
592,iuventum e.V.,Non-governmental organizations,5,4,1,Constituency - Research and independent,Mr. Henning Stöcks,Velzen,Germany,RINGO
593,Janvikas,Non-governmental organizations,1,1,0,,Mr. Mahesh Pandya,Ahmedabad,India,not yet affiliated/no data
594,"Japan Atomic Industrial Forum, Inc.",Non-governmental organizations,3,2,1,Constituency - Business and Industry,Ms. Yuko Wada,Tokyo,Japan,BINGO
595,Japan Automobile Manufacturers Association Inc.,Non-governmental organizations,3,3,0,Constituency - Business and Industry,Mr. Shingo Kawaguchi,Tokyo,Japan,BINGO
596,Japan Center for a Sustainable Environment and Society,Non-governmental organizations,2,1,1,Constituency - Environmental CAN,Mr. Jiro Adachi,Tokyo,Japan,ENGO
597,Japan Economic Research Institute,Non-governmental organizations,3,0,3,Constituency - Research and independent,Ms. Hiroko Hashimoto,Tokyo,Japan,RINGO
598,Japan Environmental Council,Non-governmental organizations,1,0,1,Constituency - Environmental,Ms. Yukari Takamura,Tokyo,Japan,ENGO
599,Japan Federation of Bar Associations,Non-governmental organizations,2,1,1,Constituency - Research and independent,Mr. Yutaro Kikuchi,Tokyo,Japan,RINGO
600,Japan International Forestry Promotion and Cooperation Center,Non-governmental organizations,1,1,0,Constituency - ENGO,Mr. Kenzo Naka,"Bunkyo-ku, Tokyo",Japan,ENGO
601,Japan Iron and Steel Federation,Non-governmental organizations,2,2,0,Constituency - Business and Industry,Mr. Masanobu Nakamizu,Tokyo,Japan,BINGO
602,Jeunes Volontaires pour l’Environnement,Non-governmental organizations,7,3,4,Constituency - Environmental,Mr. Sena Alouka,Lomé,Togo,ENGO
603,Jeunesse Étudiante Catholique Internationale,Non-governmental organizations,8,5,3,Constituency - Youth,Mr. Innocent Odongo,Paris,France,Youth
604,"Jubilee South Asia Pacific Movement, Inc.",Non-governmental organizations,3,1,2,Constituency - Environmental CJN,Ms. Lydinyda Bunyi Nacpil,Quezon City,Philippines,ENGO
605,"Kadikoyu Friends of Science, Culture and Art Association",Non-governmental organizations,4,3,1,Constituency - Environmental,Mr. Tanay Sıdkı Uyar,Istanbul,Turkey,ENGO
606,Kansai Economic Federation,Non-governmental organizations,1,0,1,Constituency - Environmental,Mr. Hiroshi Nakajima,Osaka,Japan,ENGO
607,Karnali Integrated Rural Development and Research Centre,Non-governmental organizations,4,4,0,Constituency - Environmental,Mr. Gobinda Bahadur Shahi,Sanepa,Nepal,ENGO
608,Keidanren,Non-governmental organizations,25,23,2,Constituency - Business and Industry,Mr. Kiyoshi Tanigawa,Tokyo,Japan,BINGO
609,Keio University,Non-governmental organizations,1,0,1,Constituency - Research and independent,Mr. Wanglin Yan,Tokyo,Japan,RINGO
610,Kejibaus Youth Development Initiative,Non-governmental organizations,6,5,1,Constituency - Youth,Mr. Aderemi Austino Adetoro,Akure,Nigeria,Youth
611,Keren Kayemet LeIsrael/The Jewish National Fund,Non-governmental organizations,1,1,0,Constituency - Environmental,Ms. Karine Michelle Bolton,Jerusalem,Israel,ENGO
612,KfW,Non-governmental organizations,9,6,3,Constituency - Business and Industry,Mr. Peter Hilliges,Frankfurt am Main,Germany,BINGO
613,Khazer Ecological and Cultural NGO,Non-governmental organizations,4,2,2,Constituency - Environmental CAN,Ms. Amalia Hambartsumyan,Yerevan,Armenia,ENGO
614,Kiko Network,Non-governmental organizations,13,5,8,Constituency - Environmental CAN,Mr. Kenro Taura,Kyoto,Japan,ENGO
615,KinderEnergy INC.,Non-governmental organizations,4,1,3,Constituency - Environmental,Ms. Elisabeth Anne Delgado,Los Angeles,United States of America,ENGO
616,King Abdullah Petroleum Studies and Research Center,Non-governmental organizations,7,4,3,Constituency - Research and independent,Mr. Mohamad Issa Hejazi,Riyadh,Saudi Arabia,RINGO
617,"King’s College, School of Law",Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Megan Bowman,London,United Kingdom of Great Britain and Northern Ireland,RINGO
618,Konrad-Adenauer-Foundation,Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. Jasper Eitze,Berlin,Germany,RINGO
619,Korea Chamber of Commerce and Industry,Non-governmental organizations,30,25,5,Constituency - Business and Industry,Mr. Hyun Kim,Seoul,Republic of Korea,BINGO
620,Korea Institute of Civil Engineering and Building Technology,Non-governmental organizations,1,0,1,Constituency - Research and independent,Ms. Youngsun Kim,Goyang,Republic of Korea,RINGO
621,Korean Business Council for Sustainable Development,Non-governmental organizations,8,7,1,Constituency - Business and Industry,Ms. Chai-un Hahn,Seoul,Republic of Korea,BINGO
622,"Krasnoyarsk Regional Public Ecological Movement ""Friends of the Siberian Forests""",Non-governmental organizations,3,1,2,Constituency - Environmental,Mr. Andrey Laletin,Krasnoyarsk,Russian Federation,ENGO
623,Kyoto Club,Non-governmental organizations,2,1,1,Constituency - Business and Industry,Mr. Sergio Andreis,Roma,Italy,BINGO
624,"Kyoto University, Institute of Economic Research",Non-governmental organizations,4,4,0,Constituency - Research and independent,Mr. Haruo Imai,Kyoto,Japan,RINGO
625,LAYA,Non-governmental organizations,3,1,2,Constituency - Environmental,Ms. Nafisa Goga Dsouza,"Visakhapatnam, Andhra Pradesh",India,ENGO
626,Leaders Club,Non-governmental organizations,4,3,1,Constituency - Youth,Mr. Younes Karrouk,Tanger,Morocco,Youth
627,Leadership for Environment and Development International,Non-governmental organizations,3,0,3,Constituency - Environmental,Mr. Hugh Maynard,"Epsom, Surrey",United Kingdom of Great Britain and Northern Ireland,ENGO
628,League of Women Voters of the United States,Non-governmental organizations,1,0,1,Constituency - Environmental,Ms. Robin Tokmakian,Washington,United States of America,ENGO
629,Legal Response Initiative,Non-governmental organizations,6,2,4,Constituency - Environmental CAN,Ms. Pascale Evelyn Bird,,United Kingdom of Great Britain and Northern Ireland,ENGO
630,Legambiente - League of Environment,Non-governmental organizations,2,2,0,Constituency - Environmental CJN,Mr. Maurizio Gubbiotti,Rome,Italy,ENGO
631,Libélula Instituto para el Cambio Global,Non-governmental organizations,3,2,1,Constituency - Environmental,Ms. Maite Cigarán,Lima,Peru,ENGO
632,Libyan Wildlife Trust,Non-governmental organizations,4,4,0,Constituency - Environmental,Mr. Abdalnaser Bennayel,Tripoli,Libya,ENGO
633,Life and Environment,Non-governmental organizations,5,2,3,Constituency - Environmental,Ms. Ifat Zur,Tel Aviv,Israel,ENGO
634,LIFE e.V.,Non-governmental organizations,9,1,8,Constituency - Women and Gender,Ms. Nanna Birk,Berlin,Germany,Women and Gender
635,LINGO e.V.,Non-governmental organizations,2,1,1,Constituency - Environmental,Mr. Kjell Kühne,Radebeul,Germany,ENGO
636,Lombardy Foundation for the Environment / Fondazione Lombardia per l’Ambiente,Non-governmental organizations,6,5,1,Constituency - Research and independent,Ms. Mita Laura Lapi,Milan,Italy,RINGO
637,London School of Economics and Political Science,Non-governmental organizations,8,4,4,Constituency - Research and independent,Mr. Tim Forsyth,London,United Kingdom of Great Britain and Northern Ireland,RINGO
638,Lund University,Non-governmental organizations,5,2,3,Constituency - Research and independent,Mr. Roger Hildingsson,Lund,Sweden,RINGO
639,Lutheran World Federation,Non-governmental organizations,6,2,4,Constituency - Research and independent,Ms. Elena Cedillo Vargas,Geneva 2,Switzerland,RINGO
640,"Margaret Pyke Trust, with the Population & Sustainability Network",Non-governmental organizations,2,1,1,Constituency - Women and Gender,Mr. David Allan Johnson,London,United Kingdom of Great Britain and Northern Ireland,Women and Gender
641,Marmara University,Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Semra Cerit Mazlum,Istanbul,Turkey,RINGO
642,Maryknoll Fathers and Brothers,Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. John Tivnan Brinkman,Maryknoll,United States of America,RINGO
643,Maryknoll Sisters of Saint Dominic Inc.,Non-governmental organizations,1,0,1,Constituency - Environmental,Ms. Marvelous Lomerio Misolas,Maryknoll,United States of America,ENGO
644,Massachusetts Institute of Technology,Non-governmental organizations,17,8,9,Constituency - Research and independent,Mr. John Sterman,Cambridge,United States of America,RINGO
645,Max Planck Society for the Advancement of Science e.V.,Non-governmental organizations,4,1,3,Constituency - Research and independent,Mr. Thomas Matthew Smith Sparks,München,Germany,RINGO
646,McGill University,Non-governmental organizations,1,1,0,Constituency - Research and independent,Ms. Renée Sieber,Montréal,Canada,RINGO
647,Mediators Beyond Borders International,Non-governmental organizations,7,2,5,Constituency - Research and independent,Ms. Megan Casey,Arlington,United States of America,RINGO
648,Mediterranean Protected Areas Network,Non-governmental organizations,2,1,1,Constituency - Environmental,Ms. Marie Romani,Hyeres,France,ENGO
649,Mercy Corps,Non-governmental organizations,4,0,4,Constituency - Farmers,Mr. Eliot Levine,Portland,United States of America,Farmers
650,Mercy International Association,Non-governmental organizations,2,0,2,Constituency - Research and independent,Ms. Angela Reed,Dublin,Ireland,RINGO
651,Meridian Institute,Non-governmental organizations,4,3,1,Constituency - ENGO,Mr. John Ehrmann,Dillon,United States of America,ENGO
652,Met Office Hadley Center,Non-governmental organizations,15,6,9,Constituency - Research and independent,Mr. Jason Lowe,Exeter,United Kingdom of Great Britain and Northern Ireland,RINGO
653,Michael Succow Foundation for the Protection of Nature,Non-governmental organizations,3,2,1,Constituency - Environmental,Mr. Jan Peters,Greifswald,Germany,ENGO
654,Michigan Technological University,Non-governmental organizations,9,5,4,Constituency - Research and independent,Ms. Sarah Green,Houghton,United States of America,RINGO
655,Midwest Research Institute/National Renewable Energy Laboratory,Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. Ron Daniel Benioff,"Golden, CO",United States of America,RINGO
656,"MISEREOR, German Catholic Bishops’ Organisation for Development Cooperation",Non-governmental organizations,4,2,2,Constituency - Environmental CAN,Ms. Anika Schroeder,Aachen,Germany,ENGO
657,Mom Loves Taiwan Association,Non-governmental organizations,9,3,6,Constituency - Environmental,Ms. Shun-mei Yang,Taipei City,China,ENGO
658,Monash University,Non-governmental organizations,11,5,6,Constituency - Research and independent,Mr. Abid Khan,Clayton,Australia,RINGO
659,Moravian College,Non-governmental organizations,13,3,10,Constituency - Research and independent,Ms. Hilde Binford,Bethlehem,United States of America,RINGO
660,Mountain and Glacier Protection Organization,Non-governmental organizations,5,2,3,Constituency - Environmental,Mr. Tanweer Ahmad Bhutta,Islamabad,Pakistan,ENGO
661,Mouvement International A.T.D Quart Monde,Non-governmental organizations,4,1,3,Constituency - Research and independent,Mr. Quyen Tran,Pierrelaye,France,RINGO
662,Movement Strategy Center,Non-governmental organizations,7,3,4,Constituency - ENGO,Ms. Rachel Anne Burrows,Oakland,United States of America,ENGO
663,Movimiento Ciudadano frente al Cambio Climático,Non-governmental organizations,3,3,0,Constituency - Environmental CAN,Sra. Rocío Valdeavellano Roca Rey,Lima,Peru,ENGO
664,Munich Climate Insurance Initiative,Non-governmental organizations,8,3,5,Constituency - Business and Industry,Mr. Michael Zissener,Bonn,Germany,BINGO
665,Munich Re Foundation,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Christian Hermann Barthelt,Munich,Germany,ENGO
666,"My Shelter Foundation, Inc.",Non-governmental organizations,6,2,4,Constituency - Environmental,Mr. Luca Bucken,Pasay City,Philippines,ENGO
667,National Association for the Advancement of Colored People,Non-governmental organizations,1,0,1,Constituency - Environmental CAN,Mr. Hilary Otis Shelton,Washington,United States of America,ENGO
668,National Center for Climate Change Strategy and International Cooperation,Non-governmental organizations,1,0,1,Constituency - Environmental,Mr. Xiaohua Zhang,Beijing,China,ENGO
669,National Concentrating Solar Power Association,Non-governmental organizations,1,0,1,Constituency - Business and Industry,Mr. Marco Baresi,Milan,Italy,BINGO
670,"National Council for Climate Change, Sustainable Development and Public Leadership",Non-governmental organizations,3,3,0,Constituency - Farmers,Mr. Kirit Shelat,Ahmedabad,India,Farmers
671,National Institute for Environmental Studies,Non-governmental organizations,3,1,2,Constituency - Research and independent,Mr. Atsuhiko Yoshimura,Tsukuba,Japan,RINGO
672,National Institute of Public Health and the Environment,Non-governmental organizations,2,2,0,Constituency - Research and independent,Mr. Rob Maas,Bilthoven,Netherlands,RINGO
673,National Research Council Nepal,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Bhishma Karki,Kathmandu,Nepal,ENGO
674,National Rural Electric Cooperative Association,Non-governmental organizations,2,1,1,Constituency - Business and Industry,Mr. Daniel Lee Chartier,Arlington,United States of America,BINGO
675,National Spiritual Assembly of the Baha'is of the United States,Non-governmental organizations,3,1,2,Constituency - Research and independent,Mr. Ian Hamilton,Washington,United States of America,RINGO
676,National University of Singapore,Non-governmental organizations,15,7,8,Constituency - Research and independent,Ms. Melissa Yu Xing Low,Singapore,Singapore,RINGO
677,National Wildlife Federation,Non-governmental organizations,10,5,5,Constituency - Environmental CAN,Ms. Nathalie Walker,Reston,United States of America,ENGO
678,National Youth Achievement Award Association,Non-governmental organizations,2,1,1,Constituency - Youth,Ms. Aileen Yap,Singapore,Singapore,Youth
679,Native American Rights Fund,Non-governmental organizations,3,3,0,Constituency - Indigenous peoples,Mr. Kim Jerome Gottschalk,Boulder,United States of America,IPO
680,Natural Resources Defense Council,Non-governmental organizations,10,5,5,Constituency - Environmental CAN,Mr. Jacob Schmidt,New York,United States of America,ENGO
681,Nature and Biodiversity Conservation Union,Non-governmental organizations,4,2,2,Constituency - Environmental CAN,Mr. Kristian Kloeckner,Berlin,Germany,ENGO
682,Naturefriends International,Non-governmental organizations,3,2,1,Constituency - Environmental,Ms. Andrea Lichtenecker,Vienna,Austria,ENGO
683,Near East Foundation,Non-governmental organizations,2,1,1,Constituency - Farmers,Ms. Simona Ceci,Syracuse,United States of America,Farmers
684,Neighbour Organization Nepal,Non-governmental organizations,9,7,2,Constituency - Environmental,Mr. Basanta Raj Gautam,Kathmandu,Nepal,ENGO
685,Neongreen Network,Non-governmental organizations,3,1,2,Constituency - Environmental,Ms. Angie Rattay,Vienna,Austria,ENGO
686,Nepal Federation of Indigenous Nationalities,Non-governmental organizations,5,4,1,Constituency - Indigenous peoples,Mr. Tunga Bhadra Rai,Kathmandu,Nepal,IPO
687,Network Peace Integration and Development,Non-governmental organizations,2,0,2,Constituency - Youth,Ms. Gladys Lorena Terrazas Arnez,La Paz,Bolivia (Plurinational State of),Youth
688,New Energy and Industrial Technology Development Organization,Non-governmental organizations,8,7,1,Constituency - Research and independent,Mr. Toshio Kosuge,Kawasaki,Japan,RINGO
689,New Venture Fund,Non-governmental organizations,12,6,6,Constituency - Research and independent,Mr. Travis Franck,Washington,United States of America,RINGO
690,New York University,Non-governmental organizations,6,4,2,Constituency - Research and independent,Mr. Richard Bryce Rudyk,New York,United States of America,RINGO
691,NFD Centre for Environment Education,Non-governmental organizations,7,2,5,Constituency - Environmental,Ms. Rixa Schwarz,Ahmedabad,India,ENGO
692,NGO Center for Environmental Innovation,Non-governmental organizations,5,4,1,Constituency - Environmental,Mr. Andrey Stetsenko,Moscow,Russian Federation,ENGO
693,"NGO Centre of Environmental Initiatives ""Ecoaction""",Non-governmental organizations,5,3,2,Constituency - Environmental,Ms. Yevheniia Zasiadko,Kyiv,Ukraine,ENGO
694,"NGO Committee on the Status of Women, NY, Inc.",Non-governmental organizations,1,0,1,Constituency - Women and Gender,Ms. Soon-Young Yoon,New York City,United States of America,Women and Gender
695,"NGO Ukrainian Ecological Club ""Green Wave""",Non-governmental organizations,2,1,1,Constituency - Environmental,Mr. Mykola Shlapak,Kyiv,Ukraine,ENGO
696,Nigerian Conservation Foundation,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Solomon Olatunji Adefolu,Lekki,Nigeria,ENGO
697,Non-Timber Forest Products-Exchange Programme Incorporated,Non-governmental organizations,1,0,1,Constituency - Environmental,Ms. Maria Cristina Sanchez Guerrero,Quezon City,Philippines,ENGO
698,Nordic Folkecenter for Renewable Energy,Non-governmental organizations,7,3,4,Constituency - Environmental,Mr. Daniele Pagani,Hurup Thy,Denmark,ENGO
699,Northeastern University,Non-governmental organizations,6,1,5,Constituency - Research and independent,Ms. Denise Garcia Lapon,Boston,United States of America,RINGO
700,Norwegian Confederation of Trade Unions,Non-governmental organizations,5,3,2,Constituency - Trade Unions,Ms. Anne-Beth Skrede,Oslo,Norway,TUNGO
701,Norwegian Forum for Environment and Development,Non-governmental organizations,13,7,6,Constituency - Environmental CAN,Ms. Lillian Bredal Eriksen,Oslo,Norway,ENGO
702,Norwegian Refugee Council,Non-governmental organizations,3,1,2,Constituency - Environmental,Ms. Nina M Birkeland,Oslo,Norway,ENGO
703,Norwegian Society for the Conservation of Nature,Non-governmental organizations,5,1,4,Constituency - Environmental CAN,Ms. Johanne Sæther Houge,Oslo,Norway,ENGO
704,Norwegian University of Life Sciences,Non-governmental organizations,2,1,1,Constituency - ENGO,Ms. Joanna Boddens-Hosang,Ås,Norway,ENGO
705,Norwegian University of Science and Technology,Non-governmental organizations,3,2,1,Constituency - Research and independent,Mr. Espen Moe,Trondheim,Norway,RINGO
706,Nuclear Information and Resource Service,Non-governmental organizations,2,1,1,Constituency - Environmental,Mr. Timothy Judson,Maryland,United States of America,ENGO
707,Nurses Across the Borders,Non-governmental organizations,4,3,1,Constituency - Environmental,Mr. Peters Osawaru Omoragbon,Lagos,Nigeria,ENGO
708,Observatoire méditerranéen de l’énergie,Non-governmental organizations,3,2,1,Constituency - Business and Industry,Mme Houda Ben Jannet Allal,Sophie-Antipolis,France,BINGO
709,Observatoire pour la Protection de l’Environnement et des Monuments Historiques de Tanger,Non-governmental organizations,11,9,2,Constituency - Environmental,Mr. Said Chakri,Tanger,Morocco,ENGO
710,Oceana Inc.,Non-governmental organizations,4,2,2,Constituency - Environmental,Ms. Jacqueline Savitz,Washington,United States of America,ENGO
711,Office International de la Viande,Non-governmental organizations,3,2,1,Constituency - Farmers,Mr. Hsin Huang,Paris,France,Farmers
712,Oil Change International,Non-governmental organizations,7,3,4,Constituency - Environmental CAN,Ms. Elizabeth Bast,Washington,United States of America,ENGO
713,One Sky - Canadian Institute of Sustainable Living,Non-governmental organizations,6,1,5,Constituency - Environmental,Mr. Michael Simpson,Smithers,Canada,ENGO
714,ONG Page Verte,Non-governmental organizations,1,1,0,Constituency - Environmental,Ms. Koumo Jeanne-Irène,LES LAGUNES ABIDJAN,Côte d'Ivoire,ENGO
715,OpenTeam,Non-governmental organizations,3,2,1,Constituency - Environmental,Mr. Sokha Hin,Paris,France,ENGO
716,Organic Consumers Association,Non-governmental organizations,5,3,2,Constituency - Environmental,Ms. Ercilia Sahores,Finland,United States of America,ENGO
717,Organisation des Laics Engages du Sacré Coeur pour le Developpement de Kimbondo,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Lutete Kimvuata Ernest,Kinshasa,Democratic Republic of the Congo,ENGO
718,Organisation pour le Respect de l’Environnement dans l’Entreprise,Non-governmental organizations,1,0,1,Constituency - Environmental,Mme Nathalie Boyer,Paris,France,ENGO
719,Organization for Poverty Alleviation and Development,Non-governmental organizations,1,1,0,Constituency - Women and Gender,Mr. Peter Marreh Kamara,Norsborg,Sweden,Women and Gender
720,Oro Verde - Tropical Forest Foundation,Non-governmental organizations,2,0,2,Constituency - Environmental CAN,Ms. Elke Mannigel,Bonn,Germany,ENGO
721,OSC Proyecto Musas A.C.,Non-governmental organizations,1,1,0,Constituency - Women and Gender,Mr. José Manuel Gil Valle,Tlalnepantla,Mexico,Women and Gender
722,Ouranos,Non-governmental organizations,1,1,0,Constituency - Research and independent,Mme Anne Debrabandere,Montréal,Canada,RINGO
723,Overseas Development Institute,Non-governmental organizations,6,3,3,Constituency - Research and independent,Ms. Catherine Stockwell,London,United Kingdom of Great Britain and Northern Ireland,RINGO
724,"Overseas Environmental Cooperation Center, Japan",Non-governmental organizations,7,3,4,Constituency - Research and independent,Mr. Satoshi Iemoto,Tokyo,Japan,RINGO
725,OXFAM International,Non-governmental organizations,11,6,5,Constituency - Environmental CAN,Ms. Tracy Carty,Oxford,United Kingdom of Great Britain and Northern Ireland,ENGO
726,Oxford Climate Policy,Non-governmental organizations,3,2,1,Constituency - Research and independent,Mr. Benito Müller,Oxford,United Kingdom of Great Britain and Northern Ireland,RINGO
727,P3 Foundation,Non-governmental organizations,2,1,1,Constituency - Youth,Mr. David Tong,Auckland,New Zealand,Youth
728,PAIRVI Associates,Non-governmental organizations,3,3,0,Constituency - Environmental,Mr. Ajay Kumar Jha,New Dehli,India,ENGO
729,Pan African Climate Justice Alliance,Non-governmental organizations,9,6,3,Constituency - Environmental,Mr. Joseph Mithika Mwenda,Nairobi,Kenya,ENGO
730,ParisTech,Non-governmental organizations,1,1,0,Constituency - Research and independent,Mme Sandrine Selosse,Paris,France,RINGO
731,ParlAmericas,Non-governmental organizations,3,0,3,Constituency - Local government and Municipal authorities,Ms. Emilie Lemieux,Ottawa,Canada,LGMA
732,Partenariat Français pour l'Eau,Non-governmental organizations,3,0,3,Constituency - Environmental,M. Alexandre Alix,Nanterre,France,ENGO
733,Partnership for Observation of the Global Ocean,Non-governmental organizations,5,1,4,Constituency - Research and independent,Ms. Sophie Seeyave,Plymouth,United Kingdom of Great Britain and Northern Ireland,RINGO
734,Parvati,Non-governmental organizations,2,0,2,Constituency - Environmental,Ms. Karen Ho,Richmond,Canada,ENGO
735,Peace Boat Disaster Relief Volunteer Center,Non-governmental organizations,4,2,2,Constituency - Environmental,Ms. Rachel Armstrong,Tokyo,Japan,ENGO
736,Pembina Institute for Appropriate Development,Non-governmental organizations,5,2,3,Constituency - Environmental CAN,Mr. Bora Plumptre,Calgary,Canada,ENGO
737,Pennsylvania Environmental Resource Consortium,Non-governmental organizations,3,1,2,Constituency - Research and independent,Mr. Donald Arthur Brown,Camp Hill,United States of America,RINGO
738,People in Need,Non-governmental organizations,1,1,0,Constituency - ENGO,Mr. Fabrizio Orsini,Prague 2,Czechia,ENGO
739,Peoples’ Forum 2001 GWRG,Non-governmental organizations,2,2,0,Constituency - ENGO,Ms. Hye-Sook Park,Tokyo,Japan,ENGO
740,Perspectives Climate Research gGmbH,Non-governmental organizations,10,4,6,Constituency - Research and independent,Ms. Cathrin Arenz,Freiburg,Germany,RINGO
741,Pew Charitable Trusts,Non-governmental organizations,11,6,5,Constituency - Environmental CAN,Ms. Guinnevere Roberts,Philadelphia,United States of America,ENGO
742,Plan International,Non-governmental organizations,10,3,7,Constituency - ENGO,Ms. Jessica Cooke,London,United Kingdom of Great Britain and Northern Ireland,ENGO
743,Planète Amazone,Non-governmental organizations,2,2,0,Constituency - Indigenous peoples,Mr. Gert Bruch,Courbevoie,France,IPO
744,Plant for the Planet Foundation,Non-governmental organizations,22,10,12,Constituency - Environmental,Ms. Helge Maren Bork,Tutzing,Germany,ENGO
745,Plateforme Océan et Climat,Non-governmental organizations,3,1,2,Constituency - Environmental,Ms. Loreley Picourt,Paris,France,ENGO
746,Plymouth Marine Laboratory,Non-governmental organizations,5,0,5,Constituency - Environmental,Ms. Thecla Keizer,Plymouth,United Kingdom of Great Britain and Northern Ireland,ENGO
